description,go_BioProc,go_CellComp,go_MolFunc,proteinname
"Protein involved in early pre-mRNA splicing; component of the pre-mRNA-U1 snRNP complex, the commitment complex; interacts with Msl5p/BBP splicing factor and Sub2p; similar to metazoan splicing factor U2AF65",mRNA branch site recognition:mRNA processing:RNA splicing,commitment complex,nucleotide binding:nucleic acid binding:RNA binding:mRNA binding:pre-mRNA branch point binding,Mud2p
Cyclin-like protein that interacts with Pho85p; has sequence similarity to G1 cyclins PCL1 and PCL2,regulation of cyclin-dependent protein serine/threonine kinase activity:positive regulation of macroautophagy:regulation of protein kinase activity,cyclin-dependent protein kinase holoenzyme complex,cyclin-dependent protein serine/threonine kinase regulator activity:protein kinase binding,Clg1p
"Protein of unknown function; may play a role in vacuolar sorting, null mutants are hypersensitive to sortin2",biological_process unknown:copper ion homeostasis,cellular_component unknown:membrane:integral component of membrane,molecular_function unknown,Ics3p
"Multiubiquitin chain assembly factor (E4); proteasome processivity factor that elongates polyUb chains on substrates, opposing Ubp6p, a branched polyubiquitin protease; required for retrograde transport of misfolded proteins during ERAD",protein polyubiquitination:cellular protein modification process:free ubiquitin chain polymerization:ubiquitin-dependent ERAD pathway:protein ubiquitination involved in ubiquitin-dependent protein catabolic process,proteasome complex:intracellular:nucleus:cytoplasm,ubiquitin-protein transferase activity:transferase activity:ligase activity:ubiquitin-ubiquitin ligase activity,Hul5p
"Subunit of heterohexameric prefoldin, which binds cytosolic chaperonin and transfers target proteins to it; involved in the biogenesis of actin and of alpha- and gamma-tubulin",protein folding:cytoskeleton organization:positive regulation of transcription elongation from RNA polymerase II promoter,cytoplasm:prefoldin complex,unfolded protein binding,Pfd1p
Autophagy-specific protein that is required for recruitment of other ATG proteins to the pre-autophagosomal structure (PAS); interacts with Atg17p and localizas to the PAS in a manner interdependent with Atg17p and Cis1p; not conserved,mitophagy:transport:autophagy:protein transport:macroautophagy:piecemeal microautophagy of nucleus:late nucleophagy,pre-autophagosomal structure:nucleus:cytoplasm:cytosol,molecular_function unknown,Atg29p
Cell wall mannoprotein of the Srp1p/Tip1p family of serine-alanine-rich proteins; expressed under anaerobic conditions and required for anaerobic growth; transcription is also induced by cold shock,response to stress:biological_process unknown:fungal-type cell wall organization:cell wall organization,fungal-type vacuole:extracellular region:cell wall:fungal-type cell wall:membrane:anchored component of membrane:cell periphery,molecular_function unknown:structural constituent of cell wall,Tir4p
"Mitochondrial malic enzyme, catalyzes the oxidative decarboxylation of malate to pyruvate, which is a key intermediate in sugar metabolism and a precursor for synthesis of several amino acids",pyruvate metabolic process:malate metabolic process:cellular amino acid metabolic process:oxidation-reduction process,mitochondrion:mitochondrial matrix,"nucleotide binding:malic enzyme activity:malate dehydrogenase (decarboxylating) (NAD+) activity:oxaloacetate decarboxylase activity:oxidoreductase activity:oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor:metal ion binding:NAD binding",Mae1p
"Homoserine kinase, conserved protein required for threonine biosynthesis; expression is regulated by the GCN4-mediated general amino acid control pathway",isoleucine metabolic process:methionine metabolic process:threonine metabolic process:cellular amino acid biosynthetic process:methionine biosynthetic process:threonine biosynthetic process:homoserine metabolic process:phosphorylation,cellular_component unknown,nucleotide binding:homoserine kinase activity:ATP binding:kinase activity:transferase activity,Thr1p
Structural maintenance of chromosomes (SMC) protein; essential subunit of the Mms21-Smc5-Smc6 complex; required for growth and DNA repair; S. pombe homolog forms a heterodimer with S. pombe Rad18p that is involved in DNA repair,double-strand break repair via homologous recombination:recombinational repair:DNA repair:DNA recombination:cellular response to DNA damage stimulus:sister chromatid cohesion:protein sumoylation:chromosome separation:resolution of recombination intermediates,nucleus:chromosome:Smc5-Smc6 complex,nucleotide binding:damaged DNA binding:single-stranded DNA binding:ATP binding:ATPase activity:SUMO transferase activity,Smc5p
"Essential subunit of the Dam1 complex (aka DASH complex), couples kinetochores to the force produced by MT depolymerization thereby aiding in chromosome segregation; phosphorylated during the cell cycle by cyclin-dependent kinases",mitotic sister chromatid segregation:cell cycle:chromosome segregation:attachment of spindle microtubules to kinetochore:mitotic spindle organization in nucleus:regulation of microtubule polymerization or depolymerization:positive regulation of microtubule polymerization:cell division:attachment of mitotic spindle microtubules to kinetochore:positive regulation of attachment of spindle microtubules to kinetochore:mitotic sister chromatid biorientation,"chromosome, centromeric region:kinetochore:condensed chromosome kinetochore:condensed nuclear chromosome kinetochore:condensed nuclear chromosome, centromeric region:nucleus:chromosome:cytoplasm:spindle:cytoskeleton:microtubule:DASH complex:mitotic spindle pole body:mitotic spindle",structural constituent of cytoskeleton:microtubule binding:microtubule plus-end binding,Ask1p
"Transcriptional activator involved in regulation of invertase and glucoamylase expression, invasive growth and pseudohyphal differentiation, iron uptake, chromium accumulation, and response to osmotic stress; localizes to the nucleus","transcription, DNA-templated:regulation of transcription, DNA-templated:positive regulation of starch catabolic process by positive regulation of transcription from RNA polymerase II promoter:positive regulation of invasive growth in response to glucose limitation by positive regulation of transcription from RNA polymerase II promoter:positive regulation of transcription from RNA polymerase II promoter in response to increased salt:positive regulation of transcription from RNA polymerase II promoter in response to heat stress:positive regulation of transcription from RNA polymerase II promoter in response to methylglyoxal:positive regulation of pseudohyphal growth by positive regulation of transcription from RNA polymerase II promoter",nucleus:cytoplasm,DNA binding:sequence-specific DNA binding,Msn1p
"Subunit of the HIR complex, a nucleosome assembly complex involved in regulation of histone gene transcription; contributes to nucleosome formation, heterochromatic gene silencing, and formation of functional kinetochores","negative regulation of transcription from RNA polymerase II promoter:chromatin organization:DNA replication-independent nucleosome assembly:transcription, DNA-templated:regulation of transcription, DNA-templated:regulation of transcription from RNA polymerase II promoter:transcription elongation from RNA polymerase II promoter:covalent chromatin modification:regulation of chromatin silencing","HIR complex:chromosome, centromeric region:nuclear chromatin:nucleus:chromosome",DNA binding:chromatin binding:transcription corepressor activity:nucleosome binding,Hir1p
"Subunit of the ARP2/3 complex, which is required for the motility and integrity of cortical actin patches; has mRNA binding activity",mitochondrion inheritance:actin cortical patch assembly:regulation of actin filament polymerization:Arp2/3 complex-mediated actin nucleation,cytoplasm:cytoskeleton:Arp2/3 protein complex:actin cytoskeleton:actin cortical patch:extrinsic component of mitochondrial outer membrane,mRNA binding:structural molecule activity:actin filament binding,Arc15p
Probable dephospho-CoA kinase (DPCK) that catalyzes the last step in coenzyme A biosynthesis; null mutant lethality is complemented by E. coli coaE (encoding DPCK); detected in purified mitochondria in high-throughput studies,coenzyme A biosynthetic process:phosphorylation,nucleus:nuclear envelope:mitochondrion:endoplasmic reticulum:lipid particle:cytosol:CoA-synthesizing protein complex,nucleotide binding:dephospho-CoA kinase activity:ATP binding:kinase activity:transferase activity,Cab5p
"Translational activator for mRNAs with internal ribosome entry sites; associates with polysomes and binds to a specific subset of mRNAs; ortholog of human ZNF9/CNBP, a gene involved in myotonic dystrophy type 2",positive regulation of translation,P-body:cytoplasm:cytoplasmic stress granule:polysomal ribosome,nucleic acid binding:single-stranded DNA binding:mRNA binding:zinc ion binding:translation regulator activity:metal ion binding,Gis2p
"Putative serine/threonine protein phosphatase of the type 2A-like phosphatase family, required for glycogen accumulation; interacts with Tap42p, which binds to and regulates other protein phosphatases",glycogen metabolic process:protein dephosphorylation,nucleus:cytoplasm,phosphoprotein phosphatase activity:protein serine/threonine phosphatase activity:hydrolase activity:metal ion binding,Ppg1p
"Mitochondrial translational activator specific for the COX3 mRNA, acts together with Pet54p and Pet122p; located in the mitochondrial inner membrane",regulation of translation:positive regulation of mitochondrial translation:mitochondrial respiratory chain complex IV biogenesis,mitochondrion:mitochondrial inner membrane:membrane,translation regulator activity,Pet494p
"Subunit of the signal recognition particle (SRP), involved in protein targeting to the ER; interacts with Srp54p; homolog of mammalian SRP19","SRP-dependent cotranslational protein targeting to membrane:SRP-dependent cotranslational protein targeting to membrane, translocation:SRP-dependent cotranslational protein targeting to membrane, signal sequence recognition:protein targeting to ER","cytoplasm:signal recognition particle, endoplasmic reticulum targeting:intracellular ribonucleoprotein complex:signal recognition particle",7S RNA binding,Sec65p
"Evolutionarily conserved subunit of the CCR4-NOT complex involved in controlling mRNA initiation, elongation and degradation; binds Cdc39p","transcription, DNA-templated:regulation of transcription, DNA-templated:regulation of transcription from RNA polymerase II promoter:mRNA catabolic process:negative regulation of translation:positive regulation of transcription elongation from RNA polymerase II promoter",P-body:nucleus:cytoplasm:CCR4-NOT complex:CCR4-NOT core complex,molecular_function unknown,Caf40p
Type II membrane protein required for vesicular transport between the endoplasmic reticulum and Golgi complex; v-SNARE with similarity to synaptobrevins,"transport:ER to Golgi vesicle-mediated transport:retrograde vesicle-mediated transport, Golgi to ER:vesicle fusion:protein transport:vesicle-mediated transport",Golgi membrane:endoplasmic reticulum:endoplasmic reticulum membrane:Golgi apparatus:membrane:integral component of membrane:ER to Golgi transport vesicle:SNARE complex,SNAP receptor activity,Bet1p
"Quinolinate phosphoribosyl transferase, required for the de novo biosynthesis of NAD from tryptophan via kynurenine; expression regulated by Hst1p",NAD biosynthetic process:pyridine nucleotide biosynthetic process:quinolinate catabolic process:'de novo' NAD biosynthetic process from tryptophan,nucleus:cytoplasm,"catalytic activity:nicotinate-nucleotide diphosphorylase (carboxylating) activity:transferase activity:transferase activity, transferring glycosyl groups:transferase activity, transferring pentosyl groups",Bna6p
Putative protein of unknown function; non-tagged protein is detected in purified mitochondria; may interact with respiratory chain complex IV; null mutant is viable and displays reduced frequency of mitochondrial genome loss,mitochondrial respiratory chain complex IV assembly,mitochondrion:mitochondrial respiratory chain complex IV:membrane:integral component of membrane:integral component of mitochondrial inner membrane:mitochondrial membrane:mitochondrial respiratory chain supercomplex,molecular_function unknown,Rcf2p
Putative protein of unknown function,biological_process unknown:cellular response to drug,cellular_component unknown,molecular_function unknown,YJR115W
High osmolarity-regulated gene of unknown function,biological_process unknown,membrane:integral component of membrane,molecular_function unknown,YHR078W
Component of a heterodimeric Poc4p-Irc25p chaperone involved in assembly of alpha subunits into the 20S proteasome; may regulate formation of proteasome isoforms with alternative subunits under different conditions,proteasome assembly:chaperone-mediated protein complex assembly,intracellular:cytoplasm,molecular_function unknown,Poc4p
"Essential DNA-binding protein specific to single-stranded yeast telomeric DNA repeats, required for telomere length regulation and telomere position effect",telomere maintenance:telomere maintenance via telomerase:protein localization to chromosome,"chromosome, telomeric region:nuclear telomere cap complex:nuclear chromosome, telomeric region:nucleus:chromosome:ASTRA complex",DNA binding:telomeric DNA binding,Tel2p
"Major exo-1,3-beta-glucanase of the cell wall, involved in cell wall beta-glucan assembly; exists as three differentially glycosylated isoenzymes",carbohydrate metabolic process:cellular glucan metabolic process:metabolic process:glucan catabolic process:fungal-type cell wall organization:cell wall organization,fungal-type vacuole:extracellular region:cell wall:fungal-type cell wall:cell surface,"catalytic activity:glucan exo-1,3-beta-glucosidase activity:hydrolase activity, hydrolyzing O-glycosyl compounds:hydrolase activity:hydrolase activity, acting on glycosyl bonds",Exg1p
Bifunctional acetohydroxyacid reductoisomerase and mtDNA binding protein; involved in branched-chain amino acid biosynthesis and maintenance of wild-type mitochondrial DNA; found in mitochondrial nucleoids,mitochondrial genome maintenance:cellular amino acid biosynthetic process:branched-chain amino acid biosynthetic process:isoleucine biosynthetic process:valine biosynthetic process:oxidation-reduction process,mitochondrion:mitochondrial nucleoid,"double-stranded DNA binding:ketol-acid reductoisomerase activity:oxidoreductase activity:oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor:metal ion binding:coenzyme binding",Ilv5p
"Histone H2A, core histone protein required for chromatin assembly and chromosome function; one of two nearly identical (see also HTA1) subtypes; DNA damage-dependent phosphorylation by Mec1p facilitates DNA repair; acetylated by Nat4p",DNA repair:chromatin assembly or disassembly:nucleosome assembly:chromatin silencing:cellular response to DNA damage stimulus,nucleosome:nuclear nucleosome:nucleus:chromosome:replication fork protection complex,DNA binding:protein heterodimerization activity,Hta2p
"Multidrug transporter of the major facilitator superfamily, has a role in polyamine homeostasis; expression is upregulated under polyamine stress; required for resistance to quinidine, barban, cisplatin, and bleomycin",transport:drug transmembrane transport:polyamine homeostasis:ascospore wall assembly:transmembrane transport:polyamine transmembrane transport,plasma membrane:membrane:integral component of membrane:cell periphery,polyamine transmembrane transporter activity:drug transmembrane transporter activity,Qdr3p
Subunit of the HIR complex; a nucleosome assembly complex involved in regulation of histone gene transcription; involved in position-dependent gene silencing and nucleosome reassembly; ortholog of human CABIN1 protein,"regulation of transcription involved in G1/S transition of mitotic cell cycle:DNA replication-independent nucleosome assembly:transcription, DNA-templated:regulation of transcription, DNA-templated:transcription elongation from RNA polymerase II promoter:positive regulation of histone acetylation:negative regulation of transcription involved in G1/S transition of mitotic cell cycle",HIR complex:nucleus,DNA binding:transcription corepressor activity:nucleosome binding,Hir3p
"5'-3' exonuclease and flap-endonuclease involved in recombination, double-strand break repair and DNA mismatch repair; member of the Rad2p nuclease family, with conserved N and I nuclease domains","meiotic DNA double-strand break processing:telomere maintenance:DNA double-strand break processing:DNA repair:mismatch repair:cellular response to DNA damage stimulus:gene conversion at mating-type locus, DNA double-strand break processing:telomeric 3' overhang formation:nucleic acid phosphodiester bond hydrolysis",nucleus:cytoplasm,"DNA binding:catalytic activity:nuclease activity:exonuclease activity:5'-3' exonuclease activity:hydrolase activity:hydrolase activity, acting on ester bonds:5'-flap endonuclease activity:5'-3' exodeoxyribonuclease activity:metal ion binding",Exo1p
Protein of unknown function; similar to YKR075Cp and Reg1p; expression regulated by glucose and Rgt1p; GFP-fusion protein is induced in response to the DNA-damaging agent MMS,regulation of carbohydrate metabolic process:protein catabolic process in the vacuole:biological_process unknown:cellular response to glucose starvation,protein phosphatase type 1 complex:nucleus:cytoplasm:vacuole,molecular_function unknown,YOR062C
Protein of unknown function; localizes to the cytoplasm and nucleus; overexpression affects protein trafficking through the endocytic pathway,sulfur compound metabolic process:cysteine biosynthetic process via cystathionine:transsulfuration:'de novo' L-methionine biosynthetic process,nucleus:cytoplasm,catalytic activity:cystathionine gamma-synthase activity:cystathionine beta-lyase activity:cystathionine gamma-lyase activity:lyase activity:pyridoxal phosphate binding,YHR112C
Putative transporter of the multidrug resistance-associated protein (MRP) subfamily; adjacent ORFs YKR103W and YKR104W are merged in different strain backgrounds.,transport:macroautophagy:transmembrane transport,fungal-type vacuole membrane:membrane:integral component of membrane,"nucleotide binding:ATP binding:ATPase activity:nucleoside-triphosphatase activity:ATPase activity, coupled to transmembrane movement of substances",Nft1p
"GTPase with similarity to translation release factors; together with binding partner Dom34p, facilitates ribosomal subunit dissociation and peptidyl-tRNA release when translation is stalled; genetically implicated in mRNA no-go decay","translation:translational elongation:regulation of translation:ribosome disassembly:positive regulation of translation:nonfunctional rRNA decay:nuclear-transcribed mRNA catabolic process, no-go decay",cytoplasm:cytosol:Dom34-Hbs1 complex,nucleotide binding:translation elongation factor activity:GTPase activity:GTP binding:ribosome binding,Hbs1p
Putative protein of unknown function; may be involved in phosphatase regulation and/or generation of precursor metabolites and energy,biological_process unknown,cellular_component unknown,molecular_function unknown,YER121W
"Mitochondrial ribosomal protein of the large subunit, required for respiration and for maintenance of the mitochondrial genome",translation:mitochondrial translation,intracellular:mitochondrion:mitochondrial large ribosomal subunit:ribosome:intracellular ribonucleoprotein complex,structural constituent of ribosome,Img1p
"FMN-dependent NAD(P)H:quinone reductase, may be involved in quinone detoxification; expression elevated at low temperature; sequesters the Cin5p transcription factor in the cytoplasm in complex with the proteasome under reducing conditions",apoptotic process:cellular response to oxidative stress:cytoplasmic sequestering of transcription factor:oxidation-reduction process,nucleus:cytoplasm:cytosol,NAD(P)H dehydrogenase (quinone) activity:transcription factor binding:FMN binding:oxidoreductase activity:FMN reductase (NADPH) activity:FMN reductase (NADH) activity,Lot6p
"Lanosterol 14-alpha-demethylase; catalyzes the C-14 demethylation of lanosterol to form 4,4''-dimethyl cholesta-8,14,24-triene-3-beta-ol in the ergosterol biosynthesis pathway; member of the cytochrome P450 family; associated and coordinately regulated with the P450 reductase Ncp1p",lipid metabolic process:steroid biosynthetic process:ergosterol biosynthetic process:steroid metabolic process:sterol biosynthetic process:oxidation-reduction process:demethylation,endoplasmic reticulum:plasma membrane:membrane:integral component of membrane,"monooxygenase activity:iron ion binding:sterol 14-demethylase activity:electron carrier activity:oxidoreductase activity:oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen:heme binding:metal ion binding",Erg11p
Putative protein of unknown function; non-tagged protein is detected in highly purified mitochondria in high-throughput studies; contains a PH domain and binds phosphatidylinositols and phosphatidylethanolamine in a large-scale study,biological_process unknown,mitochondrion,molecular_function unknown,YNL144C
"eIF4E-associated protein, competes with eIF4G for binding to eIF4E; inhibits cap-dependent translation; functions independently of eIF4E to maintain genetic stability; plays a role in cell growth, implicated in the TOR signaling cascade",deadenylation-dependent decapping of nuclear-transcribed mRNA:mRNA catabolic process:regulation of translation:negative regulation of translation:regulation of growth,cytoplasm:polysome:mRNA cap binding complex:cytoplasmic stress granule,nucleotide binding:mRNA binding:ATP binding:eukaryotic initiation factor 4E binding,Eap1p
"Mitochondrial integral inner membrane protein involved in membrane insertion of C-terminus of Cox2p, interacts genetically and physically with Cox18p; deletion mutant sensitive to the anti-Pneumocystis carinii drug pentamidine",protein insertion into mitochondrial membrane from inner side:response to antibiotic,mitochondrion:mitochondrial inner membrane:membrane:integral component of membrane:integral component of mitochondrial inner membrane,molecular_function unknown,Pnt1p
"Protein of unknown function; may interact with ribosomes, based on co-purification experiments; authentic, non-tagged protein is detected in purified mitochondria in high-throughput studies; potential orthologs found in other fungi",biological_process unknown,mitochondrion:ribosome:outer membrane,molecular_function unknown,YNL208W
"Mitochondrial inner membrane protein required for normal mitochondrial morphology, may be involved in fission of the inner membrane; forms a homo-oligomeric complex",mitochondrion organization:inner mitochondrial membrane organization,mitochondrion:mitochondrial inner membrane:membrane:integral component of membrane,molecular_function unknown,She9p
"Oligopeptide transporter; member of the OPT family, with potential orthologs in S. pombe and C. albicans; also plays a role in formation of mature vacuoles","transport:oligopeptide transport:protein transport:peptide transport:oligopeptide transmembrane transport:vacuole fusion, non-autophagic:regulation of vacuole organization:cell redox homeostasis:positive regulation of monopolar cell growth:transmembrane transport:regulation of phospholipid translocation",Golgi trans cisterna:fungal-type vacuole:peroxisome:plasma membrane:integral component of plasma membrane:membrane:integral component of membrane,oligopeptide transporter activity:oligopeptide transmembrane transporter activity,Opt2p
Gamma-aminobutyrate (GABA) transaminase (4-aminobutyrate aminotransferase) involved in the 4-aminobutyrate and glutamate degradation pathways; required for normal oxidative stress tolerance and nitrogen utilization,gamma-aminobutyric acid metabolic process:gamma-aminobutyric acid catabolic process:nitrogen utilization,intracellular:cytoplasm:mitochondrion:cytosol,catalytic activity:4-aminobutyrate transaminase activity:transaminase activity:transferase activity:pyridoxal phosphate binding:identical protein binding,Uga1p
ATP-dependent RNA helicase of the DEAD box family; required for 18S rRNA synthesis,"endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA):endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA):endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA):rRNA processing:RNA secondary structure unwinding:maturation of SSU-rRNA:ribosome biogenesis:snoRNA localization",nucleus:nucleolus:90S preribosome,nucleotide binding:nucleic acid binding:RNA binding:ATP-dependent RNA helicase activity:helicase activity:ATP binding:ATP-dependent helicase activity:RNA-dependent ATPase activity:hydrolase activity,Rok1p
"Fe(II)-dependent sulfonate/alpha-ketoglutarate dioxygenase, involved in sulfonate catabolism for use as a sulfur source; contains sequence that resembles a J domain (typified by the E. coli DnaJ protein); induced by sulphur starvation",sulfur compound catabolic process:alkanesulfonate catabolic process:oxidation-reduction process,cellular_component unknown:cytoplasm,"sulfonate dioxygenase activity:taurine dioxygenase activity:oxidoreductase activity:oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen:metal ion binding:dioxygenase activity",Jlp1p
"Na+/Pi cotransporter, active in early growth phase; similar to phosphate transporters of Neurospora crassa; transcription regulated by inorganic phosphate concentrations and Pho4p",transport:phosphate ion transport:phosphate ion transmembrane transport:sodium ion transmembrane transport:transmembrane transport,endoplasmic reticulum:plasma membrane:integral component of plasma membrane:membrane:integral component of membrane,inorganic phosphate transmembrane transporter activity:symporter activity:sodium:inorganic phosphate symporter activity,Pho89p
"L-homoserine-O-acetyltransferase, catalyzes the conversion of homoserine to O-acetyl homoserine which is the first step of the methionine biosynthetic pathway",sulfur amino acid metabolic process:cellular amino acid biosynthetic process:methionine biosynthetic process:homoserine metabolic process,cytoplasm,"homoserine O-acetyltransferase activity:transferase activity:transferase activity, transferring acyl groups",Met2p
"Protein of unknown function that may interact with ribosomes, based on co-purification experiments; homolog of human BAP31 protein",transport:intracellular protein transport:ER to Golgi vesicle-mediated transport:biological_process unknown:protein transport:vesicle-mediated transport:protein localization to endoplasmic reticulum exit site,endoplasmic reticulum:endoplasmic reticulum membrane:ribosome:integral component of plasma membrane:membrane:integral component of membrane,molecular_function unknown,Yet2p
"Major stress-induced structural GPI-cell wall glycoprotein in stationary-phase cells, associates with translating ribosomes, possible role in mitochondrial genome maintenance; ORF contains two distinct variable minisatellites",mitochondrial genome maintenance:fungal-type cell wall organization,extracellular region:cell wall:mitochondrion:ribosome:fungal-type cell wall:membrane:anchored component of membrane:cell periphery,structural constituent of cell wall,Sed1p
Membrane protein of unknown function; overexpression suppresses NaCl sensitivity of sro7 mutant cells by restoring sodium pump (Ena1p) localization to the plasma membrane,transport:ion transport:Golgi to plasma membrane transport,fungal-type vacuole membrane:endoplasmic reticulum:membrane:integral component of membrane:cell periphery,molecular_function unknown,Rsn1p
"Zinc cluster protein; regulates transcription in response to oleate levels; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies","negative regulation of transcription from RNA polymerase II promoter:transcription, DNA-templated:regulation of transcription, DNA-templated:transcription from RNA polymerase II promoter:cellular response to oleic acid",nucleus:cytoplasm:mitochondrion,"RNA polymerase II transcription factor activity, sequence-specific DNA binding:transcription factor activity, RNA polymerase II core promoter proximal region sequence-specific binding:DNA binding:zinc ion binding:metal ion binding",Oaf3p
