proteinname,go_IC
tel2,telomere maintenance via telomerase
tel2,protein localization to chromosome
exg1,carbohydrate metabolic process
exg1,cellular glucan metabolic process
exg1,metabolic process
exg1,glucan catabolic process
exg1,fungal-type cell wall organization
exg1,cell wall organization
ilv5,mitochondrial genome maintenance
ilv5,cellular amino acid biosynthetic process
ilv5,branched-chain amino acid biosynthetic process
ilv5,isoleucine biosynthetic process
ilv5,valine biosynthetic process
ilv5,oxidation-reduction process
hta2,DNA repair
hta2,chromatin assembly or disassembly
hta2,nucleosome assembly
hta2,chromatin silencing
hta2,cellular response to DNA damage stimulus
qdr3,transport
qdr3,drug transmembrane transport
qdr3,polyamine homeostasis
qdr3,ascospore wall assembly
qdr3,transmembrane transport
qdr3,polyamine transmembrane transport
hir3,regulation of transcription involved in G1/S transition of mitotic cell cycle
hir3,DNA replication-independent nucleosome assembly
hir3,"transcription, DNA-templated"
hir3,"regulation of transcription, DNA-templated"
hir3,transcription elongation from RNA polymerase II promoter
hir3,positive regulation of histone acetylation
hir3,negative regulation of transcription involved in G1/S transition of mitotic cell cycle
exo1,meiotic DNA double-strand break processing
exo1,telomere maintenance
exo1,DNA double-strand break processing
exo1,DNA repair
exo1,mismatch repair
exo1,cellular response to DNA damage stimulus
exo1,"gene conversion at mating-type locus, DNA double-strand break processing"
exo1,telomeric 3' overhang formation
exo1,nucleic acid phosphodiester bond hydrolysis
yor062c,regulation of carbohydrate metabolic process
yor062c,protein catabolic process in the vacuole
yor062c,biological_process unknown
yor062c,cellular response to glucose starvation
yhr112c,sulfur compound metabolic process
yhr112c,cysteine biosynthetic process via cystathionine
yhr112c,transsulfuration
yhr112c,'de novo' L-methionine biosynthetic process
nft1,transport
nft1,macroautophagy
nft1,transmembrane transport
hbs1,translation
hbs1,translational elongation
hbs1,regulation of translation
hbs1,ribosome disassembly
hbs1,positive regulation of translation
hbs1,nonfunctional rRNA decay
hbs1,"nuclear-transcribed mRNA catabolic process, no-go decay"
yer121w,biological_process unknown
img1,translation
img1,mitochondrial translation
lot6,apoptotic process
lot6,cellular response to oxidative stress
lot6,cytoplasmic sequestering of transcription factor
lot6,oxidation-reduction process
erg11,lipid metabolic process
erg11,steroid biosynthetic process
erg11,ergosterol biosynthetic process
erg11,steroid metabolic process
erg11,sterol biosynthetic process
erg11,oxidation-reduction process
erg11,demethylation
ynl144c,biological_process unknown
eap1,deadenylation-dependent decapping of nuclear-transcribed mRNA
eap1,mRNA catabolic process
eap1,regulation of translation
eap1,negative regulation of translation
eap1,regulation of growth
pnt1,protein insertion into mitochondrial membrane from inner side
pnt1,response to antibiotic
ynl208w,biological_process unknown
she9,mitochondrion organization
she9,inner mitochondrial membrane organization
opt2,transport
opt2,oligopeptide transport
opt2,protein transport
opt2,peptide transport
opt2,oligopeptide transmembrane transport
opt2,"vacuole fusion, non-autophagic"
opt2,regulation of vacuole organization
opt2,cell redox homeostasis
opt2,positive regulation of monopolar cell growth
opt2,transmembrane transport
opt2,regulation of phospholipid translocation
uga1,gamma-aminobutyric acid metabolic process
uga1,gamma-aminobutyric acid catabolic process
uga1,nitrogen utilization
rok1,"endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
rok1,"endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
rok1,"endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
rok1,rRNA processing
rok1,RNA secondary structure unwinding
rok1,maturation of SSU-rRNA
rok1,ribosome biogenesis
rok1,snoRNA localization
jlp1,sulfur compound catabolic process
jlp1,alkanesulfonate catabolic process
jlp1,oxidation-reduction process
pho89,transport
pho89,phosphate ion transport
pho89,phosphate ion transmembrane transport
pho89,sodium ion transmembrane transport
pho89,transmembrane transport
met2,sulfur amino acid metabolic process
met2,cellular amino acid biosynthetic process
met2,methionine biosynthetic process
met2,homoserine metabolic process
yet2,transport
yet2,intracellular protein transport
yet2,ER to Golgi vesicle-mediated transport
yet2,biological_process unknown
yet2,protein transport
yet2,vesicle-mediated transport
yet2,protein localization to endoplasmic reticulum exit site
sed1,mitochondrial genome maintenance
sed1,fungal-type cell wall organization
rsn1,transport
rsn1,ion transport
rsn1,Golgi to plasma membrane transport
oaf3,negative regulation of transcription from RNA polymerase II promoter
oaf3,"transcription, DNA-templated"
oaf3,"regulation of transcription, DNA-templated"
oaf3,transcription from RNA polymerase II promoter
oaf3,cellular response to oleic acid
scm3,G2/M transition of mitotic cell cycle
scm3,chromosome segregation
scm3,kinetochore assembly
scm3,"protein localization to chromosome, centromeric region"
scm3,negative regulation of protein ubiquitination involved in ubiquitin-dependent protein catabolic process
rlm1,MAPK cascade
rlm1,"transcription, DNA-templated"
rlm1,"regulation of transcription, DNA-templated"
rlm1,signal transduction
rlm1,positive regulation of transcription from RNA polymerase II promoter in response to stress
rlm1,positive regulation of transcription from RNA polymerase II promoter
cab4,biosynthetic process
cab4,coenzyme A biosynthetic process
cab4,phosphorylation
trs23,transport
trs23,ER to Golgi vesicle-mediated transport
trs23,autophagy
trs23,vesicle-mediated transport
trs23,positive regulation of GTPase activity
trs23,chromosome organization
mpd1,protein folding
mpd1,glycerol ether metabolic process
mpd1,response to endoplasmic reticulum stress
mpd1,cell redox homeostasis
mpd1,oxidation-reduction process
fen2,transport
fen2,endocytosis
fen2,pantothenate transmembrane transport
fen2,transmembrane transport
sro77,exocytosis
sro77,Golgi to plasma membrane transport
sro77,regulation of exocytosis
sro77,establishment of cell polarity
sro77,positive regulation of GTPase activity
sro77,regulation of protein secretion
hsp32,proteolysis
hsp32,response to stress
hsp32,biological_process unknown
hsp32,methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione
hsp32,lactate biosynthetic process
hsp32,cellular response to nutrient levels
ylr179c,biological_process unknown
cyb2,lactate metabolic process
cyb2,electron transport chain
cyb2,oxidation-reduction process
arp8,double-strand break repair
arp8,mitotic recombination
arp8,chromatin remodeling
arp8,"transcription, DNA-templated"
arp8,"regulation of transcription, DNA-templated"
arp8,cellular response to DNA damage stimulus
arp8,DNA duplex unwinding
rna15,mRNA polyadenylation
rna15,mRNA cleavage
rna15,mRNA processing
rna15,mRNA 3'-end processing
rna15,response to DNA damage checkpoint signaling
rna15,pre-mRNA cleavage required for polyadenylation
gle2,transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery
gle2,posttranscriptional tethering of RNA polymerase II gene DNA at nuclear periphery
gle2,protein import into nucleus
gle2,transport
gle2,protein transport
gle2,poly(A)+ mRNA export from nucleus
gle2,nuclear pore distribution
gle2,mRNA transport
gle2,regulation of mRNA export from nucleus in response to heat stress
chs2,cytokinesis
chs2,actomyosin contractile ring contraction
chs2,barrier septum site selection
chs2,chitin biosynthetic process
chs2,cell wall chitin biosynthetic process
chs2,fungal-type cell wall organization
chs2,cell wall organization
tif6,ribosomal subunit export from nucleus
tif6,"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
tif6,"maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
tif6,rRNA processing
tif6,translation
tif6,translational initiation
tif6,ribosome biogenesis
tif6,mature ribosome assembly
tif6,ribosomal large subunit biogenesis
tif6,assembly of large subunit precursor of preribosome
asp3-2p,cellular amino acid metabolic process
asp3-2p,asparagine metabolic process
asp3-2p,asparagine catabolic process
asp3-2p,cellular response to nitrogen starvation
psa1,cell wall mannoprotein biosynthetic process
psa1,protein glycosylation
psa1,cell cycle
psa1,biosynthetic process
psa1,GDP-mannose biosynthetic process
frd1,anaerobic respiration
frd1,oxidation-reduction process
frd1,cellular response to anoxia
mrpl39,translation
mrpl39,mitochondrial translation
tcb3,regulation of phosphatidylinositol dephosphorylation
tcb3,endoplasmic reticulum membrane organization
pex7,transport
pex7,protein transport
pex7,protein import into peroxisome matrix
pex7,"protein import into peroxisome matrix, docking"
otu1,"regulation of transcription, DNA-templated"
otu1,proteolysis
otu1,protein deubiquitination
otu1,ubiquitin-dependent ERAD pathway
otu1,endoplasmic reticulum unfolded protein response
ram2,peptide pheromone maturation
ram2,protein prenylation
ram2,protein farnesylation
ram2,protein geranylgeranylation
sec5,exocyst assembly
sec5,transport
sec5,exocytosis
sec5,Golgi to plasma membrane transport
sec5,protein transport
sec5,endoplasmic reticulum inheritance
sec5,vesicle tethering involved in exocytosis
stn1,telomere capping
stn1,negative regulation of telomere maintenance via telomerase
ura2,urea cycle
ura2,'de novo' pyrimidine nucleobase biosynthetic process
ura2,pyrimidine nucleotide biosynthetic process
ura2,cellular amino acid metabolic process
ura2,arginine biosynthetic process
ura2,glutamine metabolic process
ura2,glutamine catabolic process
ura2,nitrogen compound metabolic process
ura2,metabolic process
ura2,'de novo' UMP biosynthetic process
ura2,negative regulation of pyrimidine nucleobase metabolic process
ura2,carbamoyl phosphate biosynthetic process
boi1,cell separation after cytokinesis
boi1,budding cell apical bud growth
boi1,Rho protein signal transduction
boi1,establishment of cell polarity
pal1,endocytosis
pal1,biological_process unknown
pal1,regulation of cell shape
pal1,fungal-type cell wall organization or biogenesis
fas1,lipid metabolic process
fas1,fatty acid metabolic process
fas1,fatty acid biosynthetic process
fas1,metabolic process
fas1,long-chain fatty acid biosynthetic process
fas1,oxidation-reduction process
sqt1,ribosomal large subunit assembly
sqt1,ribosomal large subunit biogenesis
sma1,sporulation resulting in formation of a cellular spore
sma1,ascospore-type prospore membrane assembly
rqc1,biological_process unknown
rqc1,rescue of stalled ribosome
rqc1,ribosome-associated ubiquitin-dependent protein catabolic process
nmd4,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay"
atg23,transport
atg23,autophagy
atg23,protein transport
atg23,positive regulation of macroautophagy
atg23,CVT pathway
atg23,protein localization to pre-autophagosomal structure
atg23,late nucleophagy
csn9,adaptation of signaling pathway by response to pheromone involved in conjugation with cellular fusion
pet10,aerobic respiration
apl1,transport
apl1,intracellular protein transport
apl1,endocytosis
apl1,protein transport
apl1,vesicle-mediated transport
nca3,mitochondrion organization
nca3,fungal-type cell wall organization
srb2,"transcription, DNA-templated"
srb2,"regulation of transcription, DNA-templated"
srb2,regulation of transcription from RNA polymerase II promoter
srb2,negative regulation of ribosomal protein gene transcription from RNA polymerase II promoter in response to chemical stimulus
srb2,negative regulation of ribosomal protein gene transcription from RNA polymerase II promoter in response to nutrient levels
srb2,positive regulation of transcription from RNA polymerase II promoter
srb2,RNA polymerase II transcriptional preinitiation complex assembly
chz1,chromatin remodeling
npa3,nucleocytoplasmic transport
npa3,mitotic sister chromatid cohesion
npa3,RNA polymerase II complex import to nucleus
npa3,RNA polymerase III complex localization to nucleus
gap1,amino acid transmembrane transport
gap1,transport
gap1,amino acid transport
gap1,phenylalanine transport
gap1,polyamine transport
gap1,proline transmembrane transport
gap1,transmembrane transport
gap1,polyamine transmembrane transport
hem12,porphyrin-containing compound biosynthetic process
hem12,protoporphyrinogen IX biosynthetic process
hem12,heme biosynthetic process
cdh1,cell cycle
cdh1,regulation of cell size
cdh1,negative regulation of spindle pole body separation
cdh1,positive regulation of mitotic metaphase/anaphase transition
cdh1,cell division
cdh1,deactivation of mitotic spindle assembly checkpoint
cdh1,positive regulation of cellular protein catabolic process
cdh1,positive regulation of ubiquitin protein ligase activity
cdh1,positive regulation of protein ubiquitination involved in ubiquitin-dependent protein catabolic process
rqc2,cytoplasmic translation
rqc2,translation
rqc2,peptide biosynthetic process
rqc2,rescue of stalled ribosome
rqc2,ribosome-associated ubiquitin-dependent protein catabolic process
msw1,translation
msw1,tRNA aminoacylation for protein translation
msw1,tryptophanyl-tRNA aminoacylation
msw1,mitochondrial tryptophanyl-tRNA aminoacylation
ime4,nucleobase-containing compound metabolic process
ime4,sporulation resulting in formation of a cellular spore
ime4,methylation
ime4,meiotic cell cycle
ime4,mRNA methylation
ime4,negative regulation of pseudohyphal growth
rrb1,rRNA processing
rrb1,ribosome biogenesis
her2,translation
her2,endoplasmic reticulum organization
her2,mitochondrial translation
her2,glutaminyl-tRNAGln biosynthesis via transamidation
cyk3,cytokinesis
cyk3,barrier septum assembly
cyk3,cell cycle
cyk3,regulation of catalytic activity
cyk3,cell division
hxt8,transport
hxt8,carbohydrate transport
hxt8,hexose transport
hxt8,fructose transport
hxt8,mannose transport
hxt8,proton transport
hxt8,glucose import
hxt8,transmembrane transport
hxt8,glucose transmembrane transport
slm1,regulation of cell growth
slm1,endosomal transport
slm1,actin cytoskeleton organization
slm1,establishment or maintenance of actin cytoskeleton polarity
slm1,TOR signaling
slm1,TORC2 signaling
slm1,actin filament bundle assembly
slm1,eisosome assembly
slm1,establishment of protein localization to plasma membrane
erg13,lipid metabolic process
erg13,steroid biosynthetic process
erg13,ergosterol biosynthetic process
erg13,metabolic process
erg13,steroid metabolic process
erg13,isoprenoid biosynthetic process
erg13,sterol biosynthetic process
atg26,carbohydrate metabolic process
atg26,lipid metabolic process
atg26,steroid biosynthetic process
atg26,transport
atg26,autophagy
atg26,metabolic process
atg26,steroid metabolic process
atg26,flavonoid biosynthetic process
atg26,protein transport
atg26,sterol metabolic process
atg26,sterol biosynthetic process
atg26,lipid glycosylation
atg26,ascospore-type prospore membrane assembly
atg26,flavonoid glucuronidation
mcm10,mitotic S phase
mcm10,double-strand break repair via break-induced replication
mcm10,DNA replication
mcm10,DNA replication initiation
mcm10,DNA strand elongation involved in DNA replication
mcm10,chromatin silencing at telomere
mcm10,cell cycle
mcm10,chromatin silencing at silent mating-type cassette
rmr1,meiotic gene conversion
rmr1,reciprocal meiotic recombination
rmr1,meiotic cell cycle
cpa2,urea cycle
cpa2,'de novo' pyrimidine nucleobase biosynthetic process
cpa2,arginine biosynthetic process
cpa2,nitrogen compound metabolic process
cpa2,metabolic process
cpa2,cellular amino acid biosynthetic process
ndl1,transport
ndl1,cell cycle
ndl1,nuclear migration along microtubule
ndl1,cell division
rpl11bp,ribosomal large subunit assembly
rpl11bp,cytoplasmic translation
rpl11bp,translation
ngr1,mitochondrion organization
ngr1,3'-UTR-mediated mRNA destabilization
syh1,nuclear pore distribution
enp2,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
enp2,rRNA processing
enp2,ribosome biogenesis
enp2,ribosomal small subunit biogenesis
cld1,cardiolipin metabolic process
cld1,cardiolipin acyl-chain remodeling
gdh2,cellular amino acid metabolic process
gdh2,nitrogen compound metabolic process
gdh2,glutamate catabolic process to 2-oxoglutarate
gdh2,oxidation-reduction process
utp11,"endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
utp11,"endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
utp11,"endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
utp11,rRNA processing
utp11,ribosome biogenesis
lys5,macromolecule biosynthetic process
lys5,protein-cofactor linkage
lys5,lysine biosynthetic process via aminoadipic acid
tir2,response to stress
tir2,fungal-type cell wall organization
tir2,cellular response to freezing
ipk1,phosphorylation
ipk1,inositol phosphate biosynthetic process
ipk1,inositol phosphorylation
ipk1,"nuclear-transcribed mRNA catabolic process, non-stop decay"
cst9,DNA repair
cst9,cellular response to DNA damage stimulus
cst9,synapsis
cst9,synaptonemal complex assembly
cst9,reciprocal meiotic recombination
cst9,protein sumoylation
cst9,meiotic cell cycle
leu4,cellular amino acid biosynthetic process
leu4,branched-chain amino acid biosynthetic process
leu4,leucine biosynthetic process
leu4,carboxylic acid metabolic process
rpc31,regulation of transcription from RNA polymerase III promoter
rpc31,transcription initiation from RNA polymerase III promoter
rpc31,tRNA transcription from RNA polymerase III promoter
fus2,karyogamy involved in conjugation with cellular fusion
fus2,conjugation with cellular fusion
fus2,cytogamy
fus2,regulation of termination of mating projection growth
fus2,regulation of Rho protein signal transduction
fus2,positive regulation of GTPase activity
ccc1,transport
ccc1,manganese ion transport
ccc1,cellular calcium ion homeostasis
ccc1,cellular iron ion homeostasis
ccc1,intracellular sequestering of iron ion
ccc1,ferrous iron transport
ccc1,cellular manganese ion homeostasis
ccc1,cellular response to iron ion
ccc1,manganese ion transmembrane transport
ccc1,ferrous iron transmembrane transport
ynr066c,biological_process unknown
sal1,transport
sal1,mitochondrial transport
sal1,ADP transport
sal1,ATP transport
sal1,transmembrane transport
dfg5,budding cell bud growth
dfg5,pseudohyphal growth
dfg5,metabolic process
dfg5,fungal-type cell wall biogenesis
dfg5,carbohydrate catabolic process
dfg5,cell wall organization
pig2,regulation of glycogen biosynthetic process
pig2,regulation of catalytic activity
cca1,tRNA 3'-terminal CCA addition
cca1,RNA processing
dip5,amino acid transmembrane transport
dip5,transport
dip5,amino acid transport
dip5,transmembrane transport
dip5,L-glutamate transmembrane transport
dip5,L-aspartate transmembrane transport
her1,endoplasmic reticulum organization
tgl5,lipid metabolic process
tgl5,triglyceride mobilization
tgl5,metabolic process
tgl5,lipid catabolic process
tgl5,sporulation resulting in formation of a cellular spore
snu13,"mRNA splicing, via spliceosome"
snu13,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
snu13,maturation of LSU-rRNA
snu13,rRNA processing
snu13,mRNA processing
snu13,translation
snu13,RNA splicing
snu13,ribosome biogenesis
fal1,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
fal1,rRNA processing
fal1,RNA splicing
fal1,regulation of gene expression
fal1,RNA secondary structure unwinding
fal1,ribosome biogenesis
ygr050c,biological_process unknown
pus2,pseudouridine synthesis
pus2,tRNA processing
pus2,RNA modification
pus2,tRNA pseudouridine synthesis
pus2,mRNA pseudouridine synthesis
pus1,pseudouridine synthesis
pus1,tRNA processing
pus1,RNA modification
pus1,tRNA pseudouridine synthesis
pus1,snRNA pseudouridine synthesis
pus1,mRNA pseudouridine synthesis
ima2,maltose metabolic process
ima2,carbohydrate metabolic process
ima2,metabolic process
ima2,disaccharide catabolic process
syt1,protein targeting to Golgi
syt1,exocytosis
syt1,vesicle-mediated transport
syt1,regulation of ARF protein signal transduction
syt1,positive regulation of ARF protein signal transduction
syt1,response to endoplasmic reticulum stress
syt1,positive regulation of GTPase activity
cct6,protein folding
cct6,'de novo' protein folding
cct6,cellular protein metabolic process
cct6,chaperone-mediated protein folding
nsg1,sterol biosynthetic process
nop58,rRNA modification
nop58,"endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
nop58,"endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
nop58,"endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
nop58,rRNA processing
nop58,ribosome biogenesis
mto1,tRNA wobble uridine modification
mto1,tRNA processing
mto1,tRNA methylation
mto1,oxidation-reduction process
mto1,mitochondrial tRNA wobble uridine modification
saw1,"double-strand break repair via single-strand annealing, removal of nonhomologous ends"
saw1,DNA repair
saw1,cellular response to DNA damage stimulus
saw1,positive regulation of endodeoxyribonuclease activity
kcs1,regulation of inositol phosphate biosynthetic process
kcs1,phosphorylation
kcs1,inositol phosphate biosynthetic process
ice2,septin ring assembly
ice2,cellular zinc ion homeostasis
ice2,protein targeting to nuclear inner membrane
ice2,endoplasmic reticulum inheritance
ypc1,ceramide metabolic process
ypc1,ceramide biosynthetic process
ypc1,ceramide catabolic process
yll032c,biological_process unknown
rrt8,biological_process unknown
rrt8,sporulation resulting in formation of a cellular spore
rrt8,ascospore wall assembly
yea4,transport
yea4,carbohydrate transport
yea4,nucleotide-sugar transport
yea4,GDP-fucose transport
yea4,UDP-glucose transport
yea4,UDP-N-acetylglucosamine transport
yea4,UDP-xylose transport
yea4,fungal-type cell wall chitin biosynthetic process
yea4,transmembrane transport
yea4,UDP-N-acetylglucosamine transmembrane transport
brr1,spliceosomal complex assembly
brr1,mRNA processing
brr1,RNA splicing
ycr007c,biological_process unknown
ycr007c,vesicle organization
mrpl1,translation
mrpl1,mitochondrial translation
bfr2,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
bfr2,rRNA processing
bfr2,transport
bfr2,protein transport
bfr2,vesicle-mediated transport
