proteinname,go_IC
ask1,cytoskeleton
ask1,microtubule
ask1,DASH complex
ask1,mitotic spindle pole body
ask1,mitotic spindle
msn1,nucleus
msn1,cytoplasm
hir1,HIR complex
hir1,"chromosome, centromeric region"
hir1,nuclear chromatin
hir1,nucleus
hir1,chromosome
arc15,cytoplasm
arc15,cytoskeleton
arc15,Arp2/3 protein complex
arc15,actin cytoskeleton
arc15,actin cortical patch
arc15,extrinsic component of mitochondrial outer membrane
cab5,nucleus
cab5,nuclear envelope
cab5,mitochondrion
cab5,endoplasmic reticulum
cab5,lipid particle
cab5,cytosol
cab5,CoA-synthesizing protein complex
gis2,P-body
gis2,cytoplasm
gis2,cytoplasmic stress granule
gis2,polysomal ribosome
ppg1,nucleus
ppg1,cytoplasm
pet494,mitochondrion
pet494,mitochondrial inner membrane
pet494,membrane
sec65,cytoplasm
sec65,"signal recognition particle, endoplasmic reticulum targeting"
sec65,intracellular ribonucleoprotein complex
sec65,signal recognition particle
caf40,P-body
caf40,nucleus
caf40,cytoplasm
caf40,CCR4-NOT complex
caf40,CCR4-NOT core complex
bet1,Golgi membrane
bet1,endoplasmic reticulum
bet1,endoplasmic reticulum membrane
bet1,Golgi apparatus
bet1,membrane
bet1,integral component of membrane
bet1,ER to Golgi transport vesicle
bet1,SNARE complex
bna6,nucleus
bna6,cytoplasm
rcf2,mitochondrion
rcf2,mitochondrial respiratory chain complex IV
rcf2,membrane
rcf2,integral component of membrane
rcf2,integral component of mitochondrial inner membrane
rcf2,mitochondrial membrane
rcf2,mitochondrial respiratory chain supercomplex
yjr115w,cellular_component unknown
yhr078w,membrane
yhr078w,integral component of membrane
poc4,intracellular
poc4,cytoplasm
tel2,"chromosome, telomeric region"
tel2,nuclear telomere cap complex
tel2,"nuclear chromosome, telomeric region"
tel2,nucleus
tel2,chromosome
tel2,ASTRA complex
exg1,fungal-type vacuole
exg1,extracellular region
exg1,cell wall
exg1,fungal-type cell wall
exg1,cell surface
ilv5,mitochondrion
ilv5,mitochondrial nucleoid
hta2,nucleosome
hta2,nuclear nucleosome
hta2,nucleus
hta2,chromosome
hta2,replication fork protection complex
qdr3,plasma membrane
qdr3,membrane
qdr3,integral component of membrane
qdr3,cell periphery
hir3,HIR complex
hir3,nucleus
exo1,nucleus
exo1,cytoplasm
yor062c,protein phosphatase type 1 complex
yor062c,nucleus
yor062c,cytoplasm
yor062c,vacuole
yhr112c,nucleus
yhr112c,cytoplasm
nft1,fungal-type vacuole membrane
nft1,membrane
nft1,integral component of membrane
hbs1,cytoplasm
hbs1,cytosol
hbs1,Dom34-Hbs1 complex
yer121w,cellular_component unknown
img1,intracellular
img1,mitochondrion
img1,mitochondrial large ribosomal subunit
img1,ribosome
img1,intracellular ribonucleoprotein complex
lot6,nucleus
lot6,cytoplasm
lot6,cytosol
erg11,endoplasmic reticulum
erg11,plasma membrane
erg11,membrane
erg11,integral component of membrane
ynl144c,mitochondrion
eap1,cytoplasm
eap1,polysome
eap1,mRNA cap binding complex
eap1,cytoplasmic stress granule
pnt1,mitochondrion
pnt1,mitochondrial inner membrane
pnt1,membrane
pnt1,integral component of membrane
pnt1,integral component of mitochondrial inner membrane
ynl208w,mitochondrion
ynl208w,ribosome
ynl208w,outer membrane
she9,mitochondrion
she9,mitochondrial inner membrane
she9,membrane
she9,integral component of membrane
opt2,Golgi trans cisterna
opt2,fungal-type vacuole
opt2,peroxisome
opt2,plasma membrane
opt2,integral component of plasma membrane
opt2,membrane
opt2,integral component of membrane
uga1,intracellular
uga1,cytoplasm
uga1,mitochondrion
uga1,cytosol
rok1,nucleus
rok1,nucleolus
rok1,90S preribosome
jlp1,cellular_component unknown
jlp1,cytoplasm
pho89,endoplasmic reticulum
pho89,plasma membrane
pho89,integral component of plasma membrane
pho89,membrane
pho89,integral component of membrane
met2,cytoplasm
yet2,endoplasmic reticulum
yet2,endoplasmic reticulum membrane
yet2,ribosome
yet2,integral component of plasma membrane
yet2,membrane
yet2,integral component of membrane
sed1,extracellular region
sed1,cell wall
sed1,mitochondrion
sed1,ribosome
sed1,fungal-type cell wall
sed1,membrane
sed1,anchored component of membrane
sed1,cell periphery
rsn1,fungal-type vacuole membrane
rsn1,endoplasmic reticulum
rsn1,membrane
rsn1,integral component of membrane
rsn1,cell periphery
oaf3,nucleus
oaf3,cytoplasm
oaf3,mitochondrion
scm3,"condensed nuclear chromosome, centromeric region"
scm3,nucleus
scm3,cytoplasm
rlm1,nucleus
cab4,nucleus
cab4,cytoplasm
cab4,CoA-synthesizing protein complex
trs23,pre-autophagosomal structure
trs23,endoplasmic reticulum
trs23,Golgi apparatus
trs23,cis-Golgi network
trs23,TRAPP complex
trs23,TRAPPI protein complex
trs23,TRAPPII protein complex
trs23,TRAPPIII protein complex
mpd1,fungal-type vacuole
mpd1,endoplasmic reticulum
mpd1,endoplasmic reticulum lumen
fen2,fungal-type vacuole
fen2,fungal-type vacuole membrane
fen2,plasma membrane
fen2,membrane
fen2,integral component of membrane
fen2,cell periphery
sro77,cytoplasm
sro77,plasma membrane
sro77,cellular bud neck
hsp32,P-body
hsp32,cellular_component unknown
hsp32,cytoplasm
hsp32,cytoplasmic stress granule
ylr179c,nucleus
ylr179c,cytoplasm
cyb2,nucleus
cyb2,mitochondrion
cyb2,mitochondrial intermembrane space
cyb2,respiratory chain
arp8,nucleus
arp8,cytoplasm
arp8,cytoskeleton
arp8,Ino80 complex
rna15,nucleus
rna15,mRNA cleavage and polyadenylation specificity factor complex
rna15,mRNA cleavage factor complex
gle2,nucleus
gle2,nuclear pore
gle2,cytoplasm
gle2,membrane
gle2,integral component of membrane
gle2,nuclear membrane
chs2,cellular bud neck
chs2,membrane
chs2,integral component of membrane
chs2,cell septum
chs2,cell periphery
tif6,nucleus
tif6,nucleolus
tif6,cytoplasm
tif6,cytosol
tif6,"preribosome, large subunit precursor"
asp3-2p,extracellular region
asp3-2p,cytoplasm
asp3-2p,cell wall-bounded periplasmic space
asp3-2p,periplasmic space
psa1,cytoplasm
frd1,cytoplasm
frd1,mitochondrion
frd1,cytosol
frd1,ribosome
frd1,plasma membrane
mrpl39,intracellular
mrpl39,mitochondrion
mrpl39,mitochondrial large ribosomal subunit
mrpl39,ribosome
mrpl39,intracellular ribonucleoprotein complex
tcb3,mitochondrion
tcb3,plasma membrane
tcb3,cellular bud
tcb3,membrane
tcb3,integral component of membrane
tcb3,cortical endoplasmic reticulum
pex7,cytoplasm
pex7,peroxisome
pex7,cytosol
otu1,intracellular
otu1,nucleus
otu1,cytoplasm
otu1,cytosol
ram2,CAAX-protein geranylgeranyltransferase complex
ram2,protein farnesyltransferase complex
sec5,incipient cellular bud site
sec5,exocyst
sec5,prospore membrane
sec5,cellular bud tip
sec5,cellular bud neck
sec5,mating projection tip
sec5,cell periphery
stn1,"chromosome, telomeric region"
stn1,nuclear telomere cap complex
stn1,chromosome
stn1,CST complex
ura2,cytoplasm
ura2,mitochondrion
ura2,integral component of membrane
boi1,cytoplasm
boi1,plasma membrane
boi1,cellular bud
boi1,cellular bud neck
boi1,site of polarized growth
boi1,mating projection tip
pal1,cytoplasm
pal1,plasma membrane
pal1,cellular bud tip
pal1,cellular bud neck
pal1,cell cortex
pal1,membrane
pal1,medial cortex
pal1,mating projection tip
pal1,cell tip
fas1,cytoplasm
fas1,mitochondrion
fas1,lipid particle
fas1,cytosol
fas1,fatty acid synthase complex
sqt1,cytoplasm
sqt1,cytosol
sqt1,cytosolic ribosome
sqt1,"preribosome, large subunit precursor"
sma1,prospore membrane
rqc1,cytoplasm
rqc1,cytosolic large ribosomal subunit
rqc1,RQC complex
nmd4,nucleus
nmd4,cytoplasm
atg23,pre-autophagosomal structure
atg23,cytoplasm
atg23,membrane
atg23,extrinsic component of membrane
atg23,pre-autophagosomal structure membrane
csn9,nucleus
csn9,cytoplasm
csn9,COP9 signalosome
pet10,lipid particle
pet10,membrane
apl1,plasma membrane
apl1,clathrin-coated pit
apl1,cellular bud neck
apl1,membrane
apl1,membrane coat
apl1,AP-2 adaptor complex
apl1,endocytic vesicle
nca3,fungal-type vacuole
nca3,cellular_component unknown
nca3,mitochondrion
nca3,fungal-type cell wall
nca3,cell surface
nca3,organelle
srb2,nucleus
srb2,mediator complex
srb2,core mediator complex
chz1,nucleus
npa3,"DNA-directed RNA polymerase II, core complex"
npa3,cytoplasm
npa3,cytosol
gap1,fungal-type vacuole lumen
gap1,endosome
gap1,multivesicular body
gap1,endoplasmic reticulum
gap1,plasma membrane
gap1,integral component of plasma membrane
gap1,membrane
gap1,integral component of membrane
gap1,ER to Golgi transport vesicle
hem12,nucleus
hem12,cytoplasm
hem12,cytosol
cdh1,nucleus
cdh1,anaphase-promoting complex
cdh1,cytoplasm
rqc2,cytoplasm
rqc2,ribosome
rqc2,cytoplasmic stress granule
rqc2,RQC complex
msw1,cytoplasm
msw1,mitochondrion
msw1,mitochondrial matrix
ime4,cellular_component unknown
ime4,nucleus
ime4,nucleolus
ime4,cytoplasm
ime4,nuclear speck
ime4,MIS complex
rrb1,nucleus
rrb1,nucleolus
her2,mitochondrion
her2,glutamyl-tRNA(Gln) amidotransferase complex
her2,extrinsic component of mitochondrial inner membrane
cyk3,cellular bud neck contractile ring
cyk3,nucleus
cyk3,cytoplasm
cyk3,cellular bud neck
cyk3,HICS complex
hxt8,plasma membrane
hxt8,integral component of plasma membrane
hxt8,membrane
hxt8,integral component of membrane
hxt8,cell periphery
slm1,cytoplasm
slm1,mitochondrion
slm1,plasma membrane
slm1,membrane
slm1,TORC2 complex
slm1,eisosome
slm1,membrane raft
erg13,nucleus
atg26,cytoplasm
atg26,membrane
atg26,intracellular membrane-bounded organelle
mcm10,"chromosome, telomeric region"
mcm10,nucleus
mcm10,replication fork
mcm10,replication fork protection complex
rmr1,nucleus
rmr1,cytoplasm
cpa2,cytoplasm
cpa2,carbamoyl-phosphate synthase complex
ndl1,nucleus
ndl1,cytoplasm
ndl1,cytoskeleton
ndl1,microtubule
ndl1,cytoplasmic microtubule
rpl11bp,intracellular
rpl11bp,nucleus
rpl11bp,cytoplasm
rpl11bp,ribosome
rpl11bp,cytosolic large ribosomal subunit
rpl11bp,intracellular ribonucleoprotein complex
ngr1,P-body
ngr1,cytoplasm
ngr1,cytoplasmic stress granule
ngr1,perinuclear region of cytoplasm
syh1,P-body
syh1,cytoplasm
syh1,mitochondrion
syh1,ribosome
syh1,extrinsic component of membrane
enp2,nucleus
enp2,nucleolus
enp2,90S preribosome
enp2,small-subunit processome
cld1,mitochondrion
cld1,mitochondrial inner membrane
gdh2,mitochondrion
utp11,nucleus
utp11,nucleolus
utp11,intracellular ribonucleoprotein complex
utp11,small-subunit processome
lys5,cytoplasm
tir2,fungal-type vacuole
tir2,extracellular region
tir2,cell wall
tir2,fungal-type cell wall
tir2,membrane
tir2,anchored component of membrane
tir2,cell periphery
ipk1,nucleus
cst9,nuclear chromosome
cst9,condensed nuclear chromosome
cst9,synaptonemal complex
cst9,nucleus
cst9,chromosome
leu4,cytoplasm
leu4,mitochondrion
rpc31,nuclear chromatin
rpc31,nucleus
rpc31,DNA-directed RNA polymerase III complex
fus2,intracellular
fus2,nucleus
fus2,cytoplasm
fus2,mitochondrion
fus2,mating projection tip
fus2,cell tip
ccc1,Golgi membrane
ccc1,fungal-type vacuole
ccc1,fungal-type vacuole membrane
ccc1,vacuole
ccc1,vacuolar membrane
ccc1,Golgi apparatus
ccc1,membrane
ccc1,integral component of membrane
ynr066c,fungal-type vacuole
ynr066c,membrane
ynr066c,integral component of membrane
sal1,mitochondrion
sal1,mitochondrial inner membrane
sal1,membrane
sal1,integral component of membrane
dfg5,endoplasmic reticulum
dfg5,plasma membrane
dfg5,membrane
dfg5,anchored component of membrane
dfg5,anchored component of plasma membrane
pig2,cytoplasm
cca1,nucleus
cca1,cytoplasm
cca1,mitochondrion
cca1,mitochondrial matrix
dip5,fungal-type vacuole
dip5,fungal-type vacuole membrane
dip5,plasma membrane
dip5,integral component of plasma membrane
dip5,membrane
dip5,integral component of membrane
dip5,cell periphery
her1,cytoplasm
her1,mitochondrion
her1,ribosome
tgl5,lipid particle
tgl5,membrane
tgl5,integral component of membrane
snu13,nucleus
snu13,spliceosomal complex
snu13,nucleolus
snu13,cytosolic large ribosomal subunit
snu13,intracellular ribonucleoprotein complex
snu13,box C/D snoRNP complex
snu13,small-subunit processome
snu13,U4/U6 x U5 tri-snRNP complex
snu13,precatalytic spliceosome
fal1,nucleus
fal1,nucleolus
fal1,catalytic step 2 spliceosome
fal1,FAL1-SGD1 complex
ygr050c,cellular_component unknown
pus2,nucleus
pus2,mitochondrion
pus1,nucleus
ima2,cellular_component unknown
syt1,Golgi membrane
syt1,cytoplasm
syt1,mitochondrion
syt1,Golgi apparatus part
cct6,cytoplasm
cct6,chaperonin-containing T-complex
nsg1,nucleus
nsg1,endoplasmic reticulum
nsg1,endoplasmic reticulum membrane
nsg1,cytosol
nsg1,membrane
nsg1,integral component of membrane
nsg1,nuclear periphery
nop58,nucleus
nop58,nucleolus
nop58,intracellular ribonucleoprotein complex
nop58,90S preribosome
nop58,box C/D snoRNP complex
nop58,small-subunit processome
mto1,mitochondrion
saw1,nucleus
kcs1,cytoplasm
ice2,endoplasmic reticulum
ice2,endoplasmic reticulum membrane
ice2,membrane
ice2,integral component of membrane
ice2,integral component of endoplasmic reticulum membrane
ice2,cortical endoplasmic reticulum
ice2,perinuclear endoplasmic reticulum
ypc1,Golgi membrane
ypc1,endoplasmic reticulum
ypc1,endoplasmic reticulum membrane
ypc1,Golgi apparatus
ypc1,membrane
ypc1,integral component of membrane
ypc1,cortical endoplasmic reticulum
yll032c,cytoplasm
yll032c,ribosome
rrt8,ascospore wall
rrt8,prospore membrane
rrt8,lipid particle
rrt8,membrane
rrt8,integral component of membrane
rrt8,spore wall
yea4,endoplasmic reticulum
yea4,endoplasmic reticulum membrane
yea4,membrane
yea4,integral component of membrane
yea4,integral component of Golgi membrane
yea4,integral component of endoplasmic reticulum membrane
brr1,nucleus
brr1,spliceosomal complex
brr1,small nuclear ribonucleoprotein complex
ycr007c,fungal-type vacuole
ycr007c,cellular_component unknown
ycr007c,endoplasmic reticulum
ycr007c,Golgi apparatus
ycr007c,plasma membrane
ycr007c,membrane
ycr007c,integral component of membrane
ycr007c,cell periphery
mrpl1,intracellular
mrpl1,mitochondrion
mrpl1,mitochondrial large ribosomal subunit
mrpl1,ribosome
mrpl1,large ribosomal subunit
mrpl1,intracellular ribonucleoprotein complex
bfr2,nucleus
bfr2,nucleolus
bfr2,90S preribosome
bfr2,small-subunit processome
kin1,nucleus
kin1,cytoplasm
kin1,plasma membrane
kin1,cytoplasmic side of plasma membrane
kin1,membrane
ylr030w,cellular_component unknown
apm4,cytosol
apm4,clathrin-coated pit
apm4,membrane
apm4,AP-2 adaptor complex
apm4,clathrin adaptor complex
apm4,clathrin-coated vesicle membrane
apm4,cytoplasmic vesicle
irc10,cellular_component unknown
irc10,prospore membrane leading edge
ynl234w,fungal-type vacuole membrane
ynl234w,cytoplasm
bdf2,nucleus
bdf2,cytoplasm
bdf2,cell periphery
yrf1-5p,nucleus
erg3,endoplasmic reticulum
erg3,endoplasmic reticulum lumen
erg3,endoplasmic reticulum membrane
erg3,membrane
erg3,integral component of membrane
met7,cytoplasm
met7,mitochondrion
met7,mitochondrial inner membrane
met7,mitochondrial matrix
met7,endoplasmic reticulum
met7,membrane
cdc6,nucleus
cdc6,nuclear pre-replicative complex
cdc6,chromosome
cdc6,cytoplasm
cdc6,plasma membrane
cdc6,membrane
cdc6,DNA replication preinitiation complex
kti12,nucleus
kti12,cytoplasm
saf1,SCF ubiquitin ligase complex
vps9,cytoplasm
vps9,cytosol
qri5,mitochondrion
qri5,mitochondrial inner membrane
qri5,membrane
qri5,integral component of mitochondrial inner membrane
meh1,fungal-type vacuole membrane
meh1,vacuole
meh1,vacuolar membrane
meh1,cytosol
meh1,membrane
meh1,late endosome membrane
meh1,EGO complex
meh1,membrane raft
meh1,Ragulator complex
atp1,mitochondrion
atp1,mitochondrial inner membrane
atp1,"mitochondrial proton-transporting ATP synthase, catalytic core"
atp1,membrane
atp1,integral component of membrane
atp1,"proton-transporting two-sector ATPase complex, catalytic domain"
atp1,mitochondrial nucleoid
atp1,"proton-transporting ATP synthase complex, catalytic core F(1)"
egd2,nucleus
egd2,cytoplasm
egd2,nascent polypeptide-associated complex
mss1,intracellular
mss1,mitochondrion
mss1,mitochondrial inner membrane
mss1,cytosol
rad26,nucleus
rad26,cytoplasm
iah1,cellular_component unknown
rio1,nucleus
rio1,cytoplasm
rio1,nucleolar chromatin
swt21,nucleus
swt21,small nuclear ribonucleoprotein complex
ymr141c,cellular_component unknown
emc6,endoplasmic reticulum
emc6,endoplasmic reticulum membrane
emc6,membrane
emc6,integral component of membrane
emc6,ER membrane protein complex
ycr061w,cytoplasm
ycr061w,membrane
ycr061w,integral component of membrane
rgc1,cytoplasm
kap104,nucleus
kap104,nuclear pore
kap104,cytoplasm
kap104,cytosol
kap104,cellular bud tip
kap104,cellular bud neck
kap104,integral component of membrane
kap104,nuclear membrane
kap104,nuclear periphery
orc4,origin recognition complex
orc4,nucleus
orc4,nuclear pre-replicative complex
orc4,nuclear origin of replication recognition complex
orc4,DNA replication preinitiation complex
ent1,cytoplasm
ent1,early endosome
ent1,cellular bud tip
ent1,cellular bud neck
ent1,membrane
ent1,actin cortical patch
ent1,mating projection tip
trs65,cytoplasm
trs65,Golgi apparatus
trs65,trans-Golgi network
trs65,TRAPP complex
trs65,TRAPPII protein complex
ykl050c,cellular_component unknown
ykl050c,eisosome
ykl050c,membrane raft
hit1,nucleus
hit1,cytoplasm
lsg1,cytoplasm
lsg1,cytosol
lsg1,cytosolic large ribosomal subunit
lsg1,mating projection tip
agx1,mitochondrion
agx1,cytosol
rsa1,nucleus
rsa1,nucleoplasm
rpf1,nucleus
rpf1,nucleolus
rpf1,"preribosome, large subunit precursor"
rpi1,nucleus
mrp7,intracellular
mrp7,mitochondrion
mrp7,mitochondrial large ribosomal subunit
mrp7,ribosome
mrp7,intracellular ribonucleoprotein complex
yjl144w,cytoplasm
hom6,nucleus
hom6,cytoplasm
hsl7,cellular bud neck septin ring
hsl7,nucleus
hsl7,cytoplasm
hsl7,outer plaque of spindle pole body
hsl7,cytosol
hsl7,cellular bud neck
hsl7,cellular bud neck septin collar
tos1,fungal-type vacuole
tos1,extracellular region
tos1,fungal-type cell wall
tos1,cell surface
tos1,cell periphery
aad14,cellular_component unknown
pry1,fungal-type vacuole
pry1,extracellular region
pry1,nuclear envelope
pry1,endoplasmic reticulum
ckb1,cytoplasm
ckb1,protein kinase CK2 complex
ckb1,UTP-C complex
apc1,spindle pole
apc1,nucleus
apc1,anaphase-promoting complex
apc1,cytoplasm
apc1,cytoskeleton
ygr201c,cellular_component unknown
ygr201c,nucleus
ygr201c,cytoplasm
ynl058c,fungal-type vacuole
ynl058c,vacuole
ynl058c,vacuolar membrane
ynl058c,endoplasmic reticulum
ynl058c,cellular bud neck
ynl058c,membrane
ynl058c,integral component of membrane
cdc60,cytoplasm
cdc60,cytosol
fap1,nucleus
fap1,cytoplasm
aha1,cytoplasm
mtg2,mitochondrion
mtg2,mitochondrial inner membrane
mtg2,membrane
mtg2,extrinsic component of membrane
sth1,nucleus
sth1,RSC complex
yng1,nucleus
yng1,NuA3 histone acetyltransferase complex
yng1,NuA3a histone acetyltransferase complex
atp14,"mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)"
atp14,mitochondrion
atp14,mitochondrial inner membrane
atp14,membrane
atp14,integral component of membrane
atp14,"proton-transporting ATP synthase complex, coupling factor F(o)"
sme1,nucleus
sme1,spliceosomal complex
sme1,U5 snRNP
sme1,U1 snRNP
sme1,U2 snRNP
sme1,U4 snRNP
sme1,cytoplasm
sme1,intracellular ribonucleoprotein complex
sme1,U4/U6 x U5 tri-snRNP complex
sme1,U2-type prespliceosome
sme1,precatalytic spliceosome
ira2,intracellular
ira2,cytoplasm
ira2,mitochondrion
ira2,endoplasmic reticulum membrane
ira2,cytosol
ira2,integral component of membrane
ira2,intrinsic component of the cytoplasmic side of the plasma membrane
yol036w,cellular_component unknown
aro2,cytoplasm
aro2,cytosol
mrpl27,mitochondrion
mrpl27,mitochondrial large ribosomal subunit
mrpl27,ribosome
mrpl27,intracellular ribonucleoprotein complex
mss116,mitochondrion
mss116,mitochondrial matrix
sip3,cytoplasm
sip3,endoplasmic reticulum
sip3,endoplasmic reticulum membrane
sip3,plasma membrane
sip3,membrane
sip3,integral component of membrane
sip3,cortical endoplasmic reticulum
pth4,cellular_component unknown
pth4,mitochondrion
pth4,mitochondrial large ribosomal subunit
alg12,endoplasmic reticulum
alg12,endoplasmic reticulum membrane
alg12,membrane
alg12,integral component of membrane
alg12,intrinsic component of endoplasmic reticulum membrane
pkh3,cellular_component unknown
pkh3,nucleus
pkh3,cytoplasm
yfr045w,mitochondrion
yfr045w,mitochondrial inner membrane
yfr045w,membrane
yfr045w,integral component of membrane
inp51,cytoplasm
inp51,cytoskeleton
inp51,membrane
inp51,actin cortical patch
nsr1,nucleus
nsr1,nuclear envelope
nsr1,nucleolus
nsr1,mitochondrion
rrt5,cellular_component unknown
rrt5,prospore membrane
mf(alpha)2,fungal-type vacuole
mf(alpha)2,extracellular region
dcp2,P-body
dcp2,nucleus
dcp2,cytoplasm
dcp2,cytoplasmic side of membrane
she10,cellular_component unknown
she10,mitochondrion
she10,endoplasmic reticulum
she10,intracellular ribonucleoprotein complex
rsc2,nucleus
rsc2,RSC complex
ste24,nuclear inner membrane
ste24,mitochondrial outer membrane
ste24,endoplasmic reticulum
ste24,endoplasmic reticulum membrane
ste24,membrane
ste24,integral component of membrane
ste24,integral component of endoplasmic reticulum membrane
lcp5,nucleus
lcp5,nucleolus
lcp5,small nucleolar ribonucleoprotein complex
lcp5,intracellular ribonucleoprotein complex
lcp5,small nuclear ribonucleoprotein complex
lcp5,small-subunit processome
ach1,cytoplasm
ach1,mitochondrion
ach1,cytosol
meu1,nucleus
meu1,cytoplasm
erp5,endoplasmic reticulum
erp5,endoplasmic reticulum membrane
erp5,membrane
erp5,integral component of membrane
atp4,"mitochondrial proton-transporting ATP synthase, stator stalk"
atp4,"mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)"
atp4,mitochondrion
atp4,mitochondrial inner membrane
atp4,membrane
atp4,integral component of membrane
atp4,"proton-transporting ATP synthase complex, coupling factor F(o)"
pau21,cellular_component unknown
pau21,cytosol
pau21,fungal-type cell wall
fat1,fungal-type vacuole membrane
fat1,peroxisome
fat1,endoplasmic reticulum
fat1,lipid particle
fat1,membrane
fat1,integral component of membrane
fat1,intrinsic component of the cytoplasmic side of the plasma membrane
fat1,cell periphery
ycl068c,cellular_component unknown
ycl068c,intracellular
prm7,integral component of membrane
dse3,nucleus
dse3,cytoplasm
dse3,cellular bud neck
ubr1,ubiquitin ligase complex
ubr1,cytoplasm
ubr1,"proteasome regulatory particle, base subcomplex"
bor1,fungal-type vacuole
bor1,vacuole
bor1,vacuolar membrane
bor1,plasma membrane
bor1,integral component of plasma membrane
bor1,membrane
bor1,integral component of membrane
bor1,cell periphery
ade1,nucleus
ade1,cytoplasm
fre6,fungal-type vacuole
fre6,fungal-type vacuole membrane
fre6,vacuole
fre6,vacuolar membrane
fre6,plasma membrane
fre6,membrane
fre6,integral component of membrane
fre5,mitochondrion
fre5,plasma membrane
fre5,membrane
fre5,integral component of membrane
bls1,endosome
bls1,BLOC-1 complex
sxm1,nucleus
sxm1,nuclear envelope
sxm1,nuclear pore
sxm1,cytoplasm
sxm1,cytosol
sxm1,integral component of membrane
sic1,nucleus
sic1,cytoplasm
utp15,nucleus
utp15,nucleolus
utp15,intracellular ribonucleoprotein complex
utp15,90S preribosome
utp15,small-subunit processome
utp15,rDNA heterochromatin
utp15,t-UTP complex
ccp1,mitochondrion
ccp1,mitochondrial intermembrane space
ccp1,mitochondrial matrix
not5,P-body
not5,nucleus
not5,cytoplasm
not5,CCR4-NOT core complex
ilv2,mitochondrion
ilv2,acetolactate synthase complex
prp24,nucleus
prp24,U6 snRNP
pet100,mitochondrion
pet100,mitochondrial inner membrane
pet100,membrane
pet100,integral component of membrane
pet100,integral component of mitochondrial inner membrane
pet100,mitochondrial membrane
dak1,cytoplasm
kin82,cellular_component unknown
kin82,nucleus
kin82,cytoplasm
kin82,plasma membrane
pex5,cytoplasm
pex5,peroxisome
pex5,peroxisomal membrane
pex5,cytosol
pex5,membrane
pex5,peroxisomal importomer complex
gpp2,nucleus
gpp2,cytoplasm
yer189w,cellular_component unknown
arf2,intracellular
arf2,Golgi apparatus
arf2,cytosol
slh1,cytoplasm
slh1,cytoplasmic stress granule
slh1,polysomal ribosome
rtn1,mitochondrion
rtn1,endoplasmic reticulum
rtn1,endoplasmic reticulum membrane
rtn1,Golgi apparatus
rtn1,membrane
rtn1,integral component of membrane
rtn1,integral component of endoplasmic reticulum membrane
rtn1,cortical endoplasmic reticulum
rtn1,endoplasmic reticulum tubular network
rtn1,cell periphery
env11,nucleus
env11,vacuole
rds1,cellular_component unknown
rds1,nucleus
sld5,GINS complex
sld5,nucleus
sld5,DNA replication preinitiation complex
sld5,replication fork protection complex
pau22,fungal-type vacuole
pau22,cellular_component unknown
pau22,fungal-type cell wall
ydl057w,cellular_component unknown
ydl057w,membrane
ylr122c,cellular_component unknown
ylr122c,membrane
ylr122c,integral component of membrane
rvb2,Swr1 complex
rvb2,nucleus
rvb2,nucleoplasm
rvb2,nuclear telomeric heterochromatin
rvb2,Ino80 complex
