proteinname,go_IC
uga1,pyridoxal phosphate binding
uga1,identical protein binding
rok1,nucleotide binding
rok1,nucleic acid binding
rok1,RNA binding
rok1,ATP-dependent RNA helicase activity
rok1,helicase activity
rok1,ATP binding
rok1,ATP-dependent helicase activity
rok1,RNA-dependent ATPase activity
rok1,hydrolase activity
jlp1,sulfonate dioxygenase activity
jlp1,taurine dioxygenase activity
jlp1,oxidoreductase activity
jlp1,"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen"
jlp1,metal ion binding
jlp1,dioxygenase activity
pho89,inorganic phosphate transmembrane transporter activity
pho89,symporter activity
pho89,sodium
pho89,inorganic phosphate symporter activity
met2,homoserine O-acetyltransferase activity
met2,transferase activity
met2,"transferase activity, transferring acyl groups"
yet2,molecular_function unknown
sed1,structural constituent of cell wall
rsn1,molecular_function unknown
oaf3,"RNA polymerase II transcription factor activity, sequence-specific DNA binding"
oaf3,"transcription factor activity, RNA polymerase II core promoter proximal region sequence-specific binding"
oaf3,DNA binding
oaf3,zinc ion binding
oaf3,metal ion binding
scm3,histone binding
scm3,CENP-A containing nucleosome binding
rlm1,RNA polymerase II regulatory region sequence-specific DNA binding
rlm1,"transcription factor activity, RNA polymerase II core promoter proximal region sequence-specific binding"
rlm1,DNA binding
rlm1,"DNA binding, bending"
rlm1,sequence-specific DNA binding
rlm1,protein dimerization activity
cab4,nucleotide binding
cab4,catalytic activity
cab4,dephospho-CoA kinase activity
cab4,pantetheine-phosphate adenylyltransferase activity
cab4,ATP binding
cab4,transferase activity
cab4,nucleotidyltransferase activity
trs23,Rab guanyl-nucleotide exchange factor activity
mpd1,protein disulfide isomerase activity
mpd1,protein binding
mpd1,electron carrier activity
mpd1,protein disulfide oxidoreductase activity
mpd1,isomerase activity
mpd1,protein-disulfide reductase (glutathione) activity
fen2,pantothenate transmembrane transporter activity
sro77,molecular_function unknown
sro77,GTPase activator activity
sro77,Rab GTPase binding
sro77,syntaxin binding
hsp32,peptidase activity
hsp32,cysteine-type peptidase activity
hsp32,hydrolase activity
hsp32,lyase activity
hsp32,glyoxalase III activity
hsp32,unfolded protein binding
ylr179c,molecular_function unknown
cyb2,catalytic activity
cyb2,L-lactate dehydrogenase (cytochrome) activity
cyb2,FMN binding
cyb2,oxidoreductase activity
cyb2,heme binding
cyb2,metal ion binding
arp8,nucleotide binding
arp8,mRNA binding
arp8,ATP binding
arp8,ATP-dependent 3'-5' DNA helicase activity
rna15,nucleotide binding
rna15,nucleic acid binding
rna15,RNA binding
rna15,mRNA binding
rna15,protein heterodimerization activity
gle2,molecular_function unknown
gle2,RNA binding
gle2,ubiquitin binding
chs2,chitin synthase activity
chs2,transferase activity
chs2,"transferase activity, transferring glycosyl groups"
chs2,"transferase activity, transferring hexosyl groups"
tif6,translation initiation factor activity
tif6,ribosome binding
tif6,ribosomal large subunit binding
asp3-2p,asparaginase activity
asp3-2p,hydrolase activity
psa1,nucleotide binding
psa1,mannose-1-phosphate guanylyltransferase activity
psa1,GTP binding
psa1,transferase activity
psa1,nucleotidyltransferase activity
frd1,succinate dehydrogenase activity
frd1,electron carrier activity
frd1,fumarate reductase (NADH) activity
frd1,oxidoreductase activity
mrpl39,structural constituent of ribosome
tcb3,calcium-dependent phospholipid binding
tcb3,lipid binding
tcb3,metal ion binding
pex7,peroxisome matrix targeting signal-2 binding
otu1,thiol-dependent ubiquitin-specific protease activity
otu1,peptidase activity
otu1,cysteine-type peptidase activity
otu1,zinc ion binding
otu1,hydrolase activity
otu1,thiol-dependent ubiquitinyl hydrolase activity
otu1,metal ion binding
ram2,prenyltransferase activity
ram2,protein farnesyltransferase activity
ram2,protein geranylgeranyltransferase activity
ram2,CAAX-protein geranylgeranyltransferase activity
ram2,protein prenyltransferase activity
ram2,transferase activity
sec5,molecular_function unknown
stn1,single-stranded telomeric DNA binding
ura2,nucleotide binding
ura2,catalytic activity
ura2,aspartate carbamoyltransferase activity
ura2,carbamoyl-phosphate synthase (ammonia) activity
ura2,carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity
ura2,ATP binding
ura2,amino acid binding
ura2,transferase activity
ura2,carboxyl- or carbamoyltransferase activity
ura2,ligase activity
ura2,metal ion binding
boi1,phospholipid binding
pal1,molecular_function unknown
fas1,catalytic activity
fas1,fatty acid synthase activity
fas1,[acyl-carrier-protein] S-acetyltransferase activity
fas1,[acyl-carrier-protein] S-malonyltransferase activity
fas1,enoyl-[acyl-carrier-protein] reductase (NADH) activity
fas1,"enoyl-[acyl-carrier-protein] reductase (NADPH, B-specific) activity"
fas1,oleoyl-[acyl-carrier-protein] hydrolase activity
fas1,fatty-acyl-CoA synthase activity
fas1,myristoyl-[acyl-carrier-protein] hydrolase activity
fas1,palmitoyl-[acyl-carrier-protein] hydrolase activity
fas1,acyl-[acyl-carrier-protein] hydrolase activity
fas1,palmitoyltransferase activity
fas1,oxidoreductase activity
fas1,transferase activity
fas1,hydrolase activity
fas1,lyase activity
fas1,3-hydroxyacyl-[acyl-carrier-protein] dehydratase activity
fas1,3-hydroxyoctanoyl-[acyl-carrier-protein] dehydratase activity
sqt1,molecular_function unknown
sqt1,unfolded protein binding
sma1,molecular_function unknown
rqc1,molecular_function unknown
nmd4,molecular_function unknown
atg23,molecular_function unknown
csn9,molecular_function unknown
pet10,molecular_function unknown
apl1,molecular_function unknown
apl1,protein transporter activity
nca3,molecular_function unknown
srb2,"transcription factor activity, core RNA polymerase II binding"
srb2,RNA polymerase II transcription cofactor activity
srb2,RNA polymerase II transcription coactivator activity involved in preinitiation complex assembly
srb2,"RNA polymerase II transcription factor activity, TBP-class protein binding, involved in preinitiation complex assembly"
srb2,"transcription factor activity, RNA polymerase II transcription factor recruiting"
srb2,protein domain specific binding
chz1,histone binding
npa3,nucleotide binding
npa3,GTPase activity
npa3,GTP binding
npa3,hydrolase activity
npa3,ATPase activity
gap1,amino acid transmembrane transporter activity
gap1,L-proline transmembrane transporter activity
gap1,polyamine transmembrane transporter activity
gap1,antiporter activity
hem12,uroporphyrinogen decarboxylase activity
hem12,lyase activity
hem12,carboxy-lyase activity
cdh1,anaphase-promoting complex binding
cdh1,cyclin binding
cdh1,ubiquitin-protein transferase activator activity
rqc2,tRNA binding
rqc2,molecular_function unknown
rqc2,mRNA binding
rqc2,ribosomal large subunit binding
msw1,nucleotide binding
msw1,aminoacyl-tRNA ligase activity
msw1,tryptophan-tRNA ligase activity
msw1,ATP binding
msw1,ligase activity
ime4,mRNA (N6-adenosine)-methyltransferase activity
ime4,RNA binding
ime4,methyltransferase activity
ime4,mRNA (2'-O-methyladenosine-N6-)-methyltransferase activity
ime4,transferase activity
rrb1,molecular_function unknown
rrb1,unfolded protein binding
her2,nucleotide binding
her2,amidase activity
her2,ATP binding
her2,ligase activity
her2,"carbon-nitrogen ligase activity, with glutamine as amido-N-donor"
her2,glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity
cyk3,molecular_function unknown
cyk3,enzyme regulator activity
hxt8,transporter activity
hxt8,sugar
hxt8,proton symporter activity
hxt8,fructose transmembrane transporter activity
hxt8,glucose transmembrane transporter activity
hxt8,mannose transmembrane transporter activity
hxt8,transmembrane transporter activity
hxt8,substrate-specific transmembrane transporter activity
slm1,phospholipid binding
slm1,"phosphatidylinositol-4,5-bisphosphate binding"
slm1,phosphatidylinositol binding
slm1,sphingolipid binding
erg13,catalytic activity
erg13,hydroxymethylglutaryl-CoA synthase activity
erg13,transferase activity
atg26,phospholipid binding
atg26,transferase activity
atg26,"transferase activity, transferring glycosyl groups"
atg26,"transferase activity, transferring hexosyl groups"
atg26,sterol 3-beta-glucosyltransferase activity
atg26,soladodine glucosyltransferase activity
atg26,brassicasterol glucosyltransferase activity
mcm10,DNA replication origin binding
mcm10,double-stranded DNA binding
mcm10,single-stranded DNA binding
mcm10,protein binding
mcm10,metal ion binding
rmr1,molecular_function unknown
cpa2,nucleotide binding
cpa2,catalytic activity
cpa2,aspartate carbamoyltransferase activity
cpa2,carbamoyl-phosphate synthase (ammonia) activity
cpa2,carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity
cpa2,dihydroorotase activity
cpa2,ATP binding
cpa2,ligase activity
cpa2,metal ion binding
ndl1,microtubule plus-end binding
rpl11bp,RNA binding
rpl11bp,structural constituent of ribosome
rpl11bp,rRNA binding
ngr1,nucleotide binding
ngr1,nucleic acid binding
ngr1,RNA binding
ngr1,mRNA binding
syh1,molecular_function unknown
enp2,molecular_function unknown
cld1,phospholipase A2 activity
cld1,transferase activity
cld1,hydrolase activity
gdh2,nucleotide binding
gdh2,glutamate dehydrogenase (NAD+) activity
gdh2,oxidoreductase activity
utp11,molecular_function unknown
lys5,magnesium ion binding
lys5,holo-[acyl-carrier-protein] synthase activity
lys5,transferase activity
tir2,molecular_function unknown
tir2,structural constituent of cell wall
ipk1,nucleotide binding
ipk1,ATP binding
ipk1,kinase activity
ipk1,transferase activity
ipk1,inositol pentakisphosphate 2-kinase activity
cst9,chromatin binding
cst9,zinc ion binding
cst9,SUMO transferase activity
leu4,catalytic activity
leu4,2-isopropylmalate synthase activity
leu4,protein binding
leu4,transferase activity
leu4,"transferase activity, transferring acyl groups, acyl groups converted into alkyl on transfer"
rpc31,RNA polymerase III activity
rpc31,DNA binding
rpc31,DNA-directed 5'-3' RNA polymerase activity
rpc31,transferase activity
rpc31,nucleotidyltransferase activity
fus2,molecular_function unknown
fus2,Rho guanyl-nucleotide exchange factor activity
ccc1,manganese ion transmembrane transporter activity
ccc1,ferrous iron transmembrane transporter activity
ynr066c,molecular_function unknown
sal1,ATP
sal1,ADP antiporter activity
sal1,calcium ion binding
sal1,metal ion binding
dfg5,molecular_function unknown
dfg5,catalytic activity
dfg5,"mannan endo-1,6-alpha-mannosidase activity"
dfg5,mannosidase activity
dfg5,hydrolase activity
dfg5,"hydrolase activity, acting on glycosyl bonds"
pig2,protein phosphatase regulator activity
cca1,nucleotide binding
cca1,RNA binding
cca1,tRNA adenylyltransferase activity
cca1,ATP binding
cca1,transferase activity
cca1,nucleotidyltransferase activity
cca1,CTP
cca1,tRNA cytidylyltransferase activity
cca1,CTP
cca1,3'-cytidine-tRNA cytidylyltransferase activity
cca1,ATP
cca1,3'-cytidine-cytidine-tRNA adenylyltransferase activity
dip5,L-glutamate transmembrane transporter activity
dip5,amino acid transmembrane transporter activity
dip5,L-aspartate transmembrane transporter activity
dip5,antiporter activity
her1,molecular_function unknown
tgl5,triglyceride lipase activity
tgl5,hydrolase activity
tgl5,lysophosphatidic acid acyltransferase activity
tgl5,retinyl-palmitate esterase activity
snu13,RNA binding
snu13,U4 snRNA binding
snu13,U3 snoRNA binding
fal1,nucleotide binding
fal1,nucleic acid binding
fal1,RNA binding
fal1,ATP-dependent RNA helicase activity
fal1,helicase activity
fal1,ATP binding
fal1,ATP-dependent helicase activity
fal1,hydrolase activity
ygr050c,molecular_function unknown
pus2,RNA binding
pus2,pseudouridine synthase activity
pus2,isomerase activity
pus1,RNA binding
pus1,mRNA binding
pus1,pseudouridine synthase activity
pus1,isomerase activity
ima2,catalytic activity
ima2,"oligo-1,6-glucosidase activity"
ima2,sucrose alpha-glucosidase activity
ima2,hydrolase activity
ima2,"hydrolase activity, acting on glycosyl bonds"
ima2,cation binding
syt1,guanyl-nucleotide exchange factor activity
syt1,ARF guanyl-nucleotide exchange factor activity
syt1,phospholipid binding
cct6,nucleotide binding
cct6,ATP binding
cct6,protein binding involved in protein folding
cct6,unfolded protein binding
nsg1,unfolded protein binding
nop58,molecular_function unknown
nop58,mRNA binding
nop58,snoRNA binding
mto1,molecular_function unknown
mto1,oxidoreductase activity
mto1,flavin adenine dinucleotide binding
saw1,flap-structured DNA binding
saw1,3'-flap-structured DNA binding
saw1,5'-flap-structured DNA binding
kcs1,nucleotide binding
kcs1,"inositol-1,3,4,5,6-pentakisphosphate kinase activity"
kcs1,inositol hexakisphosphate kinase activity
kcs1,inositol heptakisphosphate kinase activity
kcs1,inositol hexakisphosphate 5-kinase activity
kcs1,ATP binding
kcs1,"inositol-1,4,5-trisphosphate 3-kinase activity"
kcs1,kinase activity
kcs1,transferase activity
kcs1,inositol heptakisphosphate 5-kinase activity
kcs1,inositol hexakisphosphate 1-kinase activity
kcs1,inositol hexakisphosphate 3-kinase activity
ice2,molecular_function unknown
ypc1,hydrolase activity
ypc1,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides"
ypc1,sphingosine N-acyltransferase activity
ypc1,phytoceramidase activity
yll032c,molecular_function unknown
yll032c,nucleic acid binding
yll032c,RNA binding
yll032c,mRNA binding
rrt8,molecular_function unknown
yea4,nucleotide-sugar transmembrane transporter activity
yea4,GDP-fucose transmembrane transporter activity
yea4,UDP-N-acetylglucosamine transmembrane transporter activity
yea4,UDP-xylose transmembrane transporter activity
brr1,RNA binding
ycr007c,molecular_function unknown
mrpl1,RNA binding
mrpl1,structural constituent of ribosome
bfr2,molecular_function unknown
kin1,nucleotide binding
kin1,protein kinase activity
kin1,protein serine/threonine kinase activity
kin1,ATP binding
kin1,kinase activity
kin1,transferase activity
kin1,"transferase activity, transferring phosphorus-containing groups"
ylr030w,molecular_function unknown
apm4,molecular_function unknown
apm4,protein binding
irc10,molecular_function unknown
ynl234w,iron ion binding
ynl234w,oxygen binding
ynl234w,heme binding
bdf2,core promoter binding
bdf2,TFIID-class transcription factor binding
bdf2,histone binding
bdf2,lysine-acetylated histone binding
yrf1-5p,nucleotide binding
yrf1-5p,nucleic acid binding
yrf1-5p,DNA helicase activity
yrf1-5p,helicase activity
yrf1-5p,ATP binding
yrf1-5p,ATP-dependent helicase activity
yrf1-5p,hydrolase activity
erg3,C-5 sterol desaturase activity
erg3,iron ion binding
erg3,oxidoreductase activity
met7,nucleotide binding
met7,tetrahydrofolylpolyglutamate synthase activity
met7,ATP binding
met7,dihydrofolate synthase activity
met7,ligase activity
cdc6,nucleotide binding
cdc6,chromatin binding
cdc6,DNA replication origin binding
cdc6,GTPase activity
cdc6,protein binding
cdc6,ATP binding
cdc6,GTP binding
cdc6,ATPase activity
cdc6,nucleoside-triphosphatase activity
kti12,nucleotide binding
kti12,chromatin binding
kti12,ATP binding
saf1,ubiquitin-protein transferase activity
vps9,guanyl-nucleotide exchange factor activity
vps9,ubiquitin binding
qri5,molecular_function unknown
meh1,molecular_function unknown
atp1,nucleotide binding
atp1,ATP binding
atp1,"hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances"
atp1,ATPase activity
atp1,adenyl ribonucleotide binding
atp1,"proton-transporting ATP synthase activity, rotational mechanism"
atp1,"proton-transporting ATPase activity, rotational mechanism"
egd2,phosphatidylinositol-3-phosphate binding
egd2,unfolded protein binding
egd2,phosphatidylinositol-4-phosphate binding
egd2,phosphatidic acid binding
egd2,"phosphatidylinositol-3,5-bisphosphate binding"
mss1,nucleotide binding
mss1,GTPase activity
mss1,GTP binding
rad26,nucleotide binding
rad26,nucleic acid binding
rad26,DNA binding
rad26,helicase activity
rad26,ATP binding
rad26,DNA-dependent ATPase activity
rad26,hydrolase activity
iah1,hydrolase activity
iah1,"hydrolase activity, acting on ester bonds"
rio1,nucleotide binding
rio1,catalytic activity
rio1,protein kinase activity
rio1,protein serine/threonine kinase activity
rio1,ATP binding
rio1,kinase activity
rio1,transferase activity
rio1,"transferase activity, transferring phosphorus-containing groups"
rio1,metal ion binding
swt21,molecular_function unknown
ymr141c,molecular_function unknown
emc6,molecular_function unknown
ycr061w,molecular_function unknown
rgc1,molecular_function unknown
rgc1,phospholipid binding
rgc1,channel regulator activity
kap104,nuclear localization sequence binding
kap104,protein transporter activity
orc4,DNA binding
orc4,DNA replication origin binding
ent1,lipid binding
ent1,clathrin binding
ent1,ubiquitin binding
trs65,Rab guanyl-nucleotide exchange factor activity
ykl050c,molecular_function unknown
hit1,molecular_function unknown
hit1,metal ion binding
lsg1,nucleotide binding
lsg1,mRNA binding
lsg1,GTPase activity
lsg1,GTP binding
lsg1,hydrolase activity
agx1,catalytic activity
agx1,alanine-glyoxylate transaminase activity
agx1,transaminase activity
agx1,transferase activity
agx1,pyridoxal phosphate binding
rsa1,molecular_function unknown
rsa1,snoRNA binding
rpf1,RNA binding
rpf1,rRNA binding
rpf1,rRNA primary transcript binding
rpi1,DNA binding
rpi1,GTPase regulator activity
mrp7,peptidyltransferase activity
mrp7,structural constituent of ribosome
yjl144w,molecular_function unknown
hom6,nucleotide binding
hom6,aspartate kinase activity
hom6,homoserine dehydrogenase activity
hom6,oxidoreductase activity
hom6,NADP binding
hsl7,methyltransferase activity
hsl7,histone-arginine N-methyltransferase activity
hsl7,transferase activity
hsl7,protein-arginine omega-N monomethyltransferase activity
hsl7,protein-arginine omega-N symmetric methyltransferase activity
tos1,molecular_function unknown
aad14,oxidoreductase activity
aad14,aryl-alcohol dehydrogenase (NAD+) activity
pry1,magnesium ion binding
pry1,lipid binding
pry1,cholesterol binding
pry1,sterol binding
ckb1,protein kinase regulator activity
ckb1,protein serine/threonine kinase inhibitor activity
apc1,ubiquitin-protein transferase activity
ygr201c,molecular_function unknown
ygr201c,translation elongation factor activity
ygr201c,glutathione transferase activity
ynl058c,molecular_function unknown
cdc60,nucleotide binding
cdc60,aminoacyl-tRNA editing activity
cdc60,aminoacyl-tRNA ligase activity
cdc60,leucine-tRNA ligase activity
cdc60,ATP binding
cdc60,ligase activity
fap1,RNA polymerase II regulatory region sequence-specific DNA binding
fap1,"transcriptional repressor activity, RNA polymerase II core promoter proximal region sequence-specific binding"
fap1,nucleic acid binding
fap1,"transcription factor activity, sequence-specific DNA binding"
fap1,zinc ion binding
fap1,metal ion binding
aha1,ATPase activator activity
aha1,chaperone binding
mtg2,nucleotide binding
mtg2,magnesium ion binding
mtg2,GTPase activity
mtg2,GTP binding
mtg2,ribosome binding
sth1,nucleotide binding
sth1,nucleic acid binding
sth1,DNA binding
sth1,helicase activity
sth1,ATP binding
sth1,DNA-dependent ATPase activity
sth1,DNA translocase activity
sth1,hydrolase activity
sth1,histone binding
sth1,lysine-acetylated histone binding
yng1,histone acetyltransferase activity
yng1,zinc ion binding
yng1,methylated histone binding
yng1,metal ion binding
atp14,ATPase activity
atp14,"proton-transporting ATP synthase activity, rotational mechanism"
atp14,"proton-transporting ATPase activity, rotational mechanism"
sme1,molecular_function unknown
sme1,RNA binding
ira2,GTPase activator activity
yol036w,molecular_function unknown
aro2,chorismate synthase activity
aro2,FMN binding
aro2,lyase activity
aro2,riboflavin reductase (NADPH) activity
mrpl27,structural constituent of ribosome
mss116,nucleotide binding
mss116,nucleic acid binding
mss116,RNA binding
mss116,mRNA binding
mss116,ATP-dependent RNA helicase activity
mss116,helicase activity
mss116,ATP binding
mss116,ATP-dependent helicase activity
mss116,hydrolase activity
mss116,RNA strand annealing activity
sip3,transcription cofactor activity
sip3,phospholipid binding
pth4,molecular_function unknown
pth4,translation release factor activity
pth4,aminoacyl-tRNA hydrolase activity
pth4,"translation release factor activity, codon specific"
pth4,"translation release factor activity, codon nonspecific"
pth4,ribosome binding
alg12,"alpha-1,6-mannosyltransferase activity"
alg12,transferase activity
alg12,"transferase activity, transferring glycosyl groups"
alg12,dol-P-Man
alg12,"Man(7)GlcNAc(2)-PP-Dol alpha-1,6-mannosyltransferase activity"
pkh3,nucleotide binding
pkh3,protein kinase activity
pkh3,protein serine/threonine kinase activity
pkh3,ATP binding
pkh3,kinase activity
pkh3,transferase activity
pkh3,"transferase activity, transferring phosphorus-containing groups"
yfr045w,transporter activity
inp51,"phosphatidylinositol-4,5-bisphosphate 5-phosphatase activity"
inp51,hydrolase activity
inp51,phosphoric ester hydrolase activity
nsr1,nucleotide binding
nsr1,nucleic acid binding
nsr1,DNA binding
nsr1,single-stranded DNA binding
nsr1,RNA binding
nsr1,mRNA binding
nsr1,nuclear localization sequence binding
nsr1,single-stranded telomeric DNA binding
rrt5,nucleotide binding
rrt5,molecular_function unknown
rrt5,nucleic acid binding
rrt5,RNA binding
mf(alpha)2,mating pheromone activity
mf(alpha)2,pheromone activity
mf(alpha)2,cupric ion binding
dcp2,chromatin binding
dcp2,RNA binding
dcp2,mRNA binding
dcp2,hydrolase activity
dcp2,manganese ion binding
dcp2,metal ion binding
dcp2,m7G(5')pppN diphosphatase activity
she10,molecular_function unknown
rsc2,DNA binding
rsc2,chromatin binding
rsc2,DNA translocase activity
ste24,metalloendopeptidase activity
ste24,peptidase activity
ste24,metallopeptidase activity
ste24,hydrolase activity
ste24,metal ion binding
lcp5,molecular_function unknown
lcp5,RNA binding
ach1,catalytic activity
ach1,acetyl-CoA hydrolase activity
ach1,acetate CoA-transferase activity
ach1,hydrolase activity
meu1,mRNA binding
meu1,catalytic activity
meu1,phosphorylase activity
meu1,transferase activity
meu1,"transferase activity, transferring glycosyl groups"
meu1,"transferase activity, transferring pentosyl groups"
meu1,S-methyl-5-thioadenosine phosphorylase activity
erp5,molecular_function unknown
atp4,hydrogen ion transmembrane transporter activity
atp4,"proton-transporting ATP synthase activity, rotational mechanism"
atp4,"proton-transporting ATPase activity, rotational mechanism"
pau21,molecular_function unknown
pau21,structural constituent of cell wall
fat1,catalytic activity
fat1,long-chain fatty acid-CoA ligase activity
fat1,long-chain fatty acid transporter activity
fat1,very long-chain fatty acid-CoA ligase activity
ycl068c,molecular_function unknown
ycl068c,guanyl-nucleotide exchange factor activity
prm7,molecular_function unknown
dse3,molecular_function unknown
ubr1,ubiquitin-protein transferase activity
ubr1,zinc ion binding
ubr1,transferase activity
ubr1,ligase activity
ubr1,metal ion binding
ubr1,ubiquitin protein ligase activity
bor1,inorganic anion exchanger activity
bor1,anion
bor1,anion antiporter activity
bor1,borate efflux transmembrane transporter activity
ade1,nucleotide binding
ade1,phosphoribosylaminoimidazole carboxylase activity
ade1,phosphoribosylaminoimidazolesuccinocarboxamide synthase activity
ade1,ATP binding
ade1,ligase activity
fre6,ferric-chelate reductase activity
fre6,oxidoreductase activity
fre6,metal ion binding
fre6,ferric-chelate reductase (NADPH) activity
fre5,ferric-chelate reductase activity
fre5,oxidoreductase activity
