stdname,sysname
Uncharacterized,YIL025C
Uncharacterized,YML131W
CWC25,YNL245C
INO4,YOL108C
MPP6,YNR024W
REC102,YLR329W
NOP4,YPL043W
DID4,YKL002W
EMC1,YCL045C
SKP1,YDR328C
SIR1,YKR101W
SPR6,YER115C
MSL1,YIR009W
Uncharacterized,YLR001C
RPB5,YBR154C
NDT80,YHR124W
SPT15,YER148W
AIM19,YIL087C
RRP5,YMR229C
HOP2,YGL033W
ENT4,YLL038C
CPA1,YOR303W
GYL1,YMR192W
Uncharacterized,YCR050C
NOB1,YOR056C
VPH1,YOR270C
HST1,YOL068C
FPS1,YLL043W
YIP5,YGL161C
DER1,YBR201W
RGM1,YMR182C
ARP10,YDR106W
Uncharacterized,YDR415C
HRT1,YOL133W
MTC5,YDR128W
TOM40,YMR203W
Uncharacterized,YHR217C
FAR3,YMR052W
YIF1,YNL263C
MIG3,YER028C
PEX27,YOR193W
ECM4,YKR076W
HTA1,YDR225W
LAS17,YOR181W
CCC2,YDR270W
HLR1,YDR528W
FCY1,YPR062W
BNS1,YGR230W
RAD24,YER173W
ETR1,YBR026C
VMA1,YDL185W
APP1,YNL094W
GRX6,YDL010W
TIM12,YBR091C
SDS23,YGL056C
OST6,YML019W
ALG5,YPL227C
FAD1,YDL045C
MAS1,YLR163C
DEG1,YFL001W
TFS1,YLR178C
NUP170,YBL079W
Uncharacterized,YKL225W
OCA2,YNL056W
RRN3,YKL125W
NUM1,YDR150W
Uncharacterized,YJL175W
MRPL38,YKL170W
TDA6,YPR157W
MFM1,YPL060W
IKI3,YLR384C
ARG81,YML099C
XDJ1,YLR090W
RPN13,YLR421C
SHR3,YDL212W
TRK2,YKR050W
SPO73,YER046W
CCT5,YJR064W
RPL15b,YMR121C
DCG1,YIR030C
FAR8,YMR029C
APT1,YML022W
ATE1,YGL017W
RPC53,YDL150W
ADE13,YLR359W
JHD2,YJR119C
PBA1,YLR199C
AAD15,YOL165C
ERF2,YLR246W
REV7,YIL139C
GPI15,YNL038W
Uncharacterized,YJL206C
CCT2,YIL142W
SRV2,YNL138W
OKP1,YGR179C
GPI10,YGL142C
GTF1,YGR102C
Uncharacterized,YGL082W
PHO13,YDL236W
BCP1,YDR361C
DMA2,YNL116W
Uncharacterized,YBR139W
ZRT1,YGL255W
GPI16,YHR188C
Uncharacterized,YJR087W
GMC2,YLR445W
YFH7,YFR007W
SBE22,YHR103W
Uncharacterized,YPL251W
HRR25,YPL204W
COS2,YBR302C
HNM1,YGL077C
TMA46,YOR091W
RPS25b,YLR333C
ECM29,YHL030W
PRP5,YBR237W
Uncharacterized,YGR026W
MRPL10,YNL284C
NSE3,YDR288W
CLN3,YAL040C
RIB4,YOL143C
NIT1,YIL164C
SIP2,YGL208W
Uncharacterized,YBR197C
MRPL6,YHR147C
STP22,YCL008C
ASN2,YGR124W
TUM1,YOR251C
SEC23,YPR181C
Uncharacterized,YMR317W
NAN1,YPL126W
AVT2,YEL064C
TRM12,YML005W
ERR1,YOR393W
DED1,YOR204W
RPL43a,YPR043W
RAD59,YDL059C
ERD2,YBL040C
UBC8,YEL012W
RPP2b,YDR382W
KRE2,YDR483W
CEM1,YER061C
SDO1,YLR022C
Uncharacterized,YLR402W
FAU1,YER183C
YNG2,YHR090C
RFU1,YLR073C
IDP1,YDL066W
SLT2,YHR030C
SAN1,YDR143C
TIR3,YIL011W
PCA1,YBR295W
RPS20,YHL015W
LYS9,YNR050C
CBT1,YKL208W
HYP2,YEL034W
PEX31,YGR004W
APL4,YPR029C
EMP47,YFL048C
KAR2,YJL034W
RPT6,YGL048C
COQ5,YML110C
AAT1,YKL106W
CLF1,YLR117C
TAD1,YGL243W
AVT5,YBL089W
SUB2,YDL084W
SLM5,YCR024C
HEM15,YOR176W
TOD6,YBL054W
INP53,YOR109W
CDC20,YGL116W
KAR4,YCL055W
ALG14,YBR070C
THI22,YPR121W
Uncharacterized,YGR226C
Uncharacterized,YMR102C
SLP1,YOR154W
IMG2,YCR071C
Uncharacterized,YPR174C
ATP11,YNL315C
PLB1,YMR008C
SSC1,YJR045C
YPS7,YDR349C
MSN4,YKL062W
GLT1,YDL171C
MET3,YJR010W
Uncharacterized,YJL218W
UTP13,YLR222C
DNF2,YDR093W
AEP2,YMR282C
SEC24,YIL109C
FRS2,YFL022C
SSY5,YJL156C
Uncharacterized,YPL109C
LAT1,YNL071W
VBA1,YMR088C
CTK1,YKL139W
ZPR1,YGR211W
Uncharacterized,YDR344C
TPH3,YJL016W
UTP18,YJL069C
IRC3,YDR332W
GUP2,YPL189W
NNT1,YLR285W
DTD1,YDL219W
BOP2,YLR267W
Uncharacterized,YNL017C
CSM1,YCR086W
COX10,YPL172C
DBP7,YKR024C
MRP20,YDR405W
SLI15,YBR156C
SPO21,YOL091W
SKI7,YOR076C
GAB1,YLR459W
RRP7,YCL031C
SEC12,YNR026C
SLA2,YNL243W
Uncharacterized,YHL044W
Uncharacterized,YPR204W
MON2,YNL297C
EMC5,YIL027C
NPL4,YBR170C
GPC1,YGR149W
SDS22,YKL193C
CDC25,YLR310C
MRX11,YPL041C
Uncharacterized,YPR099C
LRO1,YNR008W
DAN1,YJR150C
HXT10,YFL011W
PAU24,YBR301W
CMS1,YLR003C
TMN3,YER113C
CIA2,YHR122W
Uncharacterized,YHL017W
RRG7,YOR305W
RPL38,YLR325C
SGS1,YMR190C
KTR7,YIL085C
Uncharacterized,YCL076W
Uncharacterized,YDR413C
YTM1,YOR272W
HAP5,YOR358W
STE50,YCL032W
Uncharacterized,YAR029W
ADD37,YMR184W
KEX2,YNL238W
PHO90,YJL198W
AIM29,YKR074W
PRO2,YOR323C
CHO1,YER026C
SLK19,YOR195W
RAD14,YMR201C
SDH2,YLL041C
MEF1,YLR069C
CAT2,YML042W
ARO7,YPR060C
DOA4,YDR069C
MUM3,YOR298W
HPA3,YEL066W
GLN1,YPR035W
PAU10,YDR542W
SIR4,YDR227W
PRY2,YKR013W
BUD5,YCR038C
RSA4,YCR072C
PHO5,YBR093C
Uncharacterized,YBL112C
LYS14,YDR034C
PUP1,YOR157C
ERV14,YGL054C
PDC5,YLR134W
Uncharacterized,YLR161W
SPR28,YDR218C
MSH4,YFL003C
Uncharacterized,YPL225W
Uncharacterized,YDL012C
ECM38,YLR299W
MDL2,YPL270W
EBP2,YKL172W
Uncharacterized,YPL062W
FLC3,YGL139W
NCA2,YPR155C
Uncharacterized,YKL123W
RPA14,YDR156W
SIA1,YOR137C
VAC7,YNL054W
HNT2,YDR305C
GLN3,YER040W
GGA1,YDR358W
MRPL51,YPR100W
COS1,YNL336W
MRS4,YKR052C
KIN2,YLR096W
IKS1,YJL057C
AXL2,YIL140W
SAS2,YMR127C
MET8,YBR213W
Uncharacterized,YGL015C
Uncharacterized,YDL152W
NOP56,YLR197W
TOR1,YJR066W
Uncharacterized,YOL163W
MAP1,YLR244C
Uncharacterized,YJR084W
GUP1,YGL084C
RCY1,YJL204C
HTS1,YPR033C
EST1,YLR233C
GUD1,YDL238C
Uncharacterized,YAL064W
NAM2,YLR382C
MSC3,YLR219W
PRE4,YFR050C
RIA1,YNL163C
SAD1,YFR005C
Uncharacterized,YNL114C
ESC2,YDR363W
MUP3,YHL036W
JIP3,YLR331C
Uncharacterized,YGR126W
BSC5,YNR069C
MNT2,YGL257C
CDC15,YAR019C
Uncharacterized,YOR024W
VMA7,YGR020C
AFT1,YGL071W
Uncharacterized,YOL118C
Uncharacterized,YDR286C
BOL3,YAL046C
CMR2,YOR093C
CYC3,YAL039C
RKM2,YDR198C
MDR1,YGR100W
FCY21,YER060W
GWT1,YJL091C
ARO10,YDR380W
TBF1,YPL128C
TFC4,YGR047C
RPL42b,YHR141C
RPL21a,YBR191W
SEH1,YGL100W
VPS72,YDR485C
Uncharacterized,YBR089W
DPM1,YPR183W
YAR1,YPL239W
YRO2,YBR054W
NOC2,YOR206W
RPL10,YLR075W
PAU2,YEL049W
HSP33,YOR391C
YEH2,YLR020C
Uncharacterized,YNL217W
PDR11,YIL013C
PGC1,YPL206C
TSR1,YDL060W
VBA2,YBR293W
RGI1,YER067W
POP2,YNR052C
ERC1,YHR032W
MCM3,YEL032W
RPS4b,YHR203C
CTK3,YML112W
VPS61,YDR136C
MDM20,YOL076W
KAP114,YGL241W
Uncharacterized,YDL071C
BET2,YPR176C
YOS9,YDR057W
IPP1,YBR011C
NTF2,YER009W
Uncharacterized,YLR140W
Uncharacterized,YGL114W
SNX4,YJL036W
CFT2,YLR115W
BCK2,YER167W
YPK2,YMR104C
SEC31,YDL195W
PUG1,YER185W
SAS3,YBL052C
NPP1,YCR026C
ECM8,YBR076W
PFS2,YNL317W
KNS1,YLL019C
UBC1,YDR177W
GCN3,YKR026C
CIC1,YHR052W
POL32,YJR043C
FBA1,YKL060C
Uncharacterized,YJR012C
PER1,YCR044C
Uncharacterized,YDL177C
MSK1,YNL073W
CAT8,YMR280C
MDJ2,YNL328C
CCT3,YJL014W
PAU5,YFL020C
MED4,YOR174W
CCH1,YGR217W
NCE102,YPR149W
PBI2,YNL015W
TUP1,YCR084C
STB5,YHR178W
MF(ALPHA)1,YPL187W
Uncharacterized,YLR283W
IMA4,YJL221C
DAP1,YPL170W
PAM1,YDR251W
COQ4,YDR204W
ERG10,YPL028W
PTC2,YER089C
SEN34,YAR008W
DAL5,YJR152W
PAN3,YKL025C
WRS1,YOL097C
CDC21,YOR074C
AMN1,YBR158W
TFC7,YOR110W
TRS120,YDR407C
SHG1,YBR258C
ATP23,YNR020C
Uncharacterized,YNL146W
TDP1,YBR223C
ZWF1,YNL241C
ERP2,YAL007C
VPS35,YJL154C
RLI1,YDR091C
MTC1,YJL123C
SSF1,YHR066W
SGF11,YPL047W
POS5,YPL188W
MRPL40,YPL173W
ECM31,YBR176W
ULI1,YFR026C
FRQ1,YDR373W
CSE1,YGL238W
HAL5,YJL165C
TEP1,YNL128W
ATG39,YLR312C
DPH2,YKL191W
VPS27,YNR006W
MSH1,YHR120W
FLO1,YAR050W
BSC6,YOL137W
APA2,YDR530C
UBP5,YER144C
SWI4,YER111C
RPP2a,YOL039W
CAB2,YIL083C
PRS3,YHL011C
ADH2,YMR303C
XRN1,YGL173C
PMT7,YDR307W
PMT3,YOR321W
KTR3,YBR205W
DFM1,YDR411C
HSC82,YMR186W
Uncharacterized,YGL260W
TIS11,YLR136C
PRM15,YMR278W
TGL4,YKR089C
HFA1,YMR207C
MCA1,YOR197W
TAF11,YML015C
Uncharacterized,YDL041W
SIS2,YKR072C
SWM1,YDR260C
NOP1,YDL014W
Uncharacterized,YER079W
YAT2,YER024W
YHB1,YGR234W
WTM1,YOR230W
Uncharacterized,YMR178W
Uncharacterized,YEL068C
RHO2,YNL090W
ERV2,YPR037C
SLY41,YOR307C
Uncharacterized,YGL052W
RXT2,YBR095C
NQM1,YGR043C
EHD3,YDR036C
PBI1,YPL272C
GRE1,YPL223C
COS111,YBR203W
IZH2,YOL002C
ADY2,YCR010C
SEC4,YFL005W
Uncharacterized,YDR154C
YIM1,YMR152W
STO1,YMR125W
GEA1,YJR031C
ATG1,YGL180W
Uncharacterized,YOR135C
RPS23a,YGR118W
RPL11a,YPR102C
Uncharacterized,YJL055W
RPS2,YGL123W
RSC3,YDR303C
ELP3,YPL086C
MAY24,YPR153W
ARG80,YMR042W
SFI1,YLL003W
GTB1,YDR221W
Uncharacterized,YDR109C
TUS1,YLR425W
CTF18,YMR078C
AHP1,YLR109W
FOX2,YKR009C
CBK1,YNL161W
GIS3,YLR094C
CBF1,YJR060W
MSH5,YDL154W
Uncharacterized,YLR041W
ATG32,YIL146C
Uncharacterized,YJL202C
NMT1,YLR195C
PAU20,YOL161C
CAR1,YPL111W
ATP7,YKL016C
BNA5,YLR231C
TPO5,YKL174C
DGR2,YKL121W
CSR1,YLR380W
CLU1,YMR012W
TSC11,YER093C
YPI1,YFR003C
TRM8,YDL201W
BCY1,YIL033C
TLG1,YDR468C
RAD17,YOR368W
UTP8,YGR128C
NEO1,YIL048W
HSF1,YGL073W
GPM3,YOL056W
CTT1,YGR088W
VRP1,YLR337C
RPN12,YFR052W
YPS5,YGL259W
Uncharacterized,YGR022C
VOA1,YGR106C
RAT1,YOR048C
GCV3,YAL044C
GRS2,YPR081C
Uncharacterized,YBR124W
MAD1,YGL086W
PHS1,YJL097W
Uncharacterized,YOR121C
DPP1,YDR284C
DSE2,YHR143W
PGS1,YCL004W
Uncharacterized,YBL044W
CYM1,YDR430C
SSN3,YPL042C
RIB3,YDR487C
ATG13,YPR185W
PDX1,YGR193C
FMP25,YLR077W
Uncharacterized,YBR056W
NBA1,YOL070C
ALG9,YNL219C
ICL1,YER065C
PIH1,YHR034C
Uncharacterized,YDL062W
APN2,YBL019W
CCM1,YGR150C
CSM4,YPL200W
FIN1,YDR130C
ESF2,YNR054C
CTP1,YBR291C
BAR1,YIL015W
TAF8,YML114C
ECM10,YEL030W
STF2,YGR008C
Uncharacterized,YCR108C
PPX1,YHR201C
TRF5,YNL299W
Uncharacterized,YPR170C
SKP2,YNL311C
MAD2,YJL030W
TRM82,YDR165W
SOL4,YGR248W
PFF1,YBR074W
MRPL23,YOR150W
PST1,YDR055W
CGI121,YML036W
HOG1,YLR113W
ASM4,YDL088C
PUT1,YLR142W
ASF2,YDL197C
Uncharacterized,YMR244W
YKU80,YMR106C
COM2,YER130C
PAB1,YER165W
TAF6,YGL112C
Uncharacterized,YER187W
Uncharacterized,YLL058W
CTF19,YPL018W
SEC17,YBL050W
APC11,YDL008W
SMF2,YHR050W
MTM1,YGR257C
STE18,YJR086W
ATG11,YPR049C
TMA22,YJR014W
Uncharacterized,YPL185W
COS7,YDL248W
URB2,YJR041C
KKQ8,YKL168C
AIM26,YKL037W
MRPL33,YMR286W
SAP190,YKR028W
AIR2,YDL175C
BUD32,YGR262C
MGR2,YPL098C
CGR1,YGL029W
Uncharacterized,YPR003C
ARP9,YMR033W
VCX1,YDL128W
POL3,YDL102W
STE2,YFL026W
RAV2,YDR202C
RRP6,YOR001W
Uncharacterized,YNL013C
AHC2,YCR082W
PAU1,YJL223C
MET32,YDR253C
RSM27,YGR215W
CAB3,YKL088W
DBP9,YLR276C
Uncharacterized,YJR154W
HMI1,YOL095C
MRPL50,YNR022C
SIZ1,YDR409W
PDB1,YBR221C
Uncharacterized,YNL140C
SSA1,YAL005C
Uncharacterized,YBR174C
MSH6,YDR097C
SSZ1,YHR064C
LAC1,YKL008C
RPE1,YJL121C
SWM2,YNR004W
SVL3,YPL032C
SIF2,YBR103W
PEX1,YKL197C
PCT1,YGR202C
ATP17,YDR377W
CSS2,YFR020W
EGH1,YIR007W
VPS16,YPL045W
CDC3,YLR314C
SPC98,YNL126W
SNC2,YOR327C
CDC33,YOL139C
FTH1,YBR207W
BSC4,YNL269W
UBA1,YKL210W
KRE28,YDR532C
LSM5,YER146W
TDA11,YHR159W
COX11,YPL132W
SIP4,YJL089W
POR2,YIL114C
ATM1,YMR301C
Uncharacterized,YBL029W
MRPS17,YMR188C
Uncharacterized,YOR389W
GTO1,YGR154C
ZRT2,YLR130C
IRA1,YBR140C
SRB4,YER022W
Uncharacterized,YKR070W
Uncharacterized,YDL016C
PFK2,YMR205C
Uncharacterized,YNL203C
ATG36,YJL185C
PSP2,YML017W
RCM1,YNL022C
OMA1,YKR087C
YOR1,YGR281W
MGE1,YOR232W
SPG1,YGR236C
SRL3,YKR091W
OTU2,YHL013C
RTP1,YMR185W
VPS15,YBR097W
Uncharacterized,YOR309C
SPS2,YDR522C
TAF7,YMR227C
SIN3,YOL004W
MSB2,YGR014W
FLC1,YPL221W
SAM3,YPL274W
TYW3,YGL050W
VMA8,YEL051W
IMP1,YMR150C
DMC1,YER179W
Uncharacterized,YGL182C
BLM10,YFL007W
TRP4,YDR354W
BRO1,YPL084W
CFT1,YDR301W
PGK1,YCR012W
PEP8,YJL053W
FHL1,YPR104C
SHU1,YHL006C
THI12,YNL332W
SUE1,YPR151C
DNM1,YLL001W
HMLALPHA2,YCL067C
Uncharacterized,YGL109W
TSA1,YML028W
CRF1,YDR223W
PDX3,YBR035C
BDH1,YAL060W
NTA1,YJR062C
RPL16a,YIL133C
QCR8,YJL166W
NDC80,YIL144W
TRX1,YLR043C
SKO1,YNL167C
ACO2,YJL200C
RPL9b,YNL067W
THI7,YLR237W
VPS24,YKL041W
URB1,YKL014C
VTC5,YDR089W
YSW1,YBR148W
Uncharacterized,YPL113C
LST4,YKL176C
Uncharacterized,YDR249C
CDC123,YLR215C
INA22,YIR024C
MHO1,YJR008W
MET6,YER091C
ACK1,YDL203C
CSF1,YLR087C
Uncharacterized,YML082W
PSH1,YOL054W
LOC1,YFR001W
Uncharacterized,YNL109W
Uncharacterized,YFR054C
FKS1,YLR342W
ULP2,YIL031W
LCL2,YLR104W
NUP2,YLR335W
VPS25,YJR102C
HSP10,YOR020C
EMC2,YJR088C
MDM36,YPR083W
SRB5,YGR104C
MDM30,YLR368W
MRPL37,YBR268W
Uncharacterized,YGL088W
RBG2,YGR173W
ARO8,YGL202W
MRX10,YDR282C
GAL3,YDR009W
BCK1,YJL095W
TPS1,YBR126C
DCP1,YOL149W
RPO26,YPR187W
DBP5,YOR046C
Uncharacterized,YGL159W
EAF5,YEL018W
BRL1,YHR036W
VPS73,YGL104C
THP1,YOL072W
SKI6,YGR195W
NPL3,YDR432W
PSY4,YBL046W
VID28,YIL017C
ATR1,YML116W
UPS3,YDR185C
BIO5,YNR056C
Uncharacterized,YDR132C
HRP1,YOL123W
SET5,YHR207C
ADE12,YNL220W
ATG40,YOR152C
Uncharacterized,YPR172W
RPL24a,YGL031C
ERG25,YGR060W
Uncharacterized,YJL032W
Uncharacterized,YDR053W
TOK1,YJL093C
FYV12,YOR183W
Uncharacterized,YLR111W
EAF3,YPR023C
YMC1,YPR058W
RCR2,YDR003W
RPN4,YDL020C
SRC1,YML034W
ACF2,YLR144C
RMD6,YEL072W
RPL35a,YDL191W
PIF1,YML061C
REG2,YBR050C
GCG1,YER163C
BIG1,YHR101C
PMD1,YER132C
PLC1,YPL268W
CUE3,YGL110C
MRI1,YPR118W
Uncharacterized,YKL031W
RSC30,YHR056C
ILV3,YJR016C
RPL20a,YMR242C
DFR1,YOR236W
SET4,YJL105W
RTT10,YPL183C
GET3,YDL100C
YKU70,YMR284W
Uncharacterized,YKR011C
GAC1,YOR178C
IMP2,YMR035W
TMN2,YDR107C
AGA2,YGL032C
IES2,YNL215W
HAL1,YPR005C
TNA1,YGR260W
Uncharacterized,YNL011C
RMD5,YDR255C
VPS64,YDR200C
YIP3,YNL044W
MCM5,YLR274W
THI11,YJR156C
MEP2,YNL142W
THS1,YIL078W
CDC13,YDL220C
EFB1,YAL003W
SGT2,YOR007C
DED81,YHR019C
TPO2,YGR138C
EPL1,YFL024C
RPL32,YBL092W
Uncharacterized,YDR095C
DAK2,YFL053W
TGL1,YKL140W
MIA40,YKL195W
CIS3,YJL158C
SPT10,YJL127C
BCS1,YDR375C
PPN1,YDR452W
NAF1,YNL124W
TRM44,YPL030W
Uncharacterized,YNL179C
TAD3,YLR316C
SWA2,YDR320C
ATO2,YNR002C
ROG3,YFR022W
Uncharacterized,YAR023C
VRG4,YGL225W
TFB6,YOR352W
FIT1,YDR534C
Uncharacterized,YMR324C
Uncharacterized,YOR325W
VPS5,YOR069W
ORM1,YGR038W
YMC2,YBR104W
EMP65,YER140W
MCX1,YBR227C
SEC61,YLR378C
REC104,YHR157W
SPO19,YPL130W
PKH2,YOL100W
HIS5,YIL116W
PTI1,YGR156W
RMD8,YFR048W
SUA5,YGL169W
GAS1,YMR307W
DIS3,YOL021C
TOP1,YOL006C
USB1,YLR132C
GPA2,YER020W
RAD33,YML011C
PSY2,YNL201C
UTP5,YDR398W
PTP3,YER075C
MRPL20,YKR085C
POM34,YLR018C
SWE1,YJL187C
BMT6,YLR063W
RPL33b,YOR234C
SNF5,YBR289W
PTR2,YKR093W
SAC1,YKL212W
STE4,YOR212W
FMP42,YMR221C
PAC1,YOR269W
PST2,YDR032C
Uncharacterized,YGR016W
MAK10,YEL053C
EGD1,YPL037C
TPP1,YMR156C
STR3,YGL184C
Uncharacterized,YHR125W
POL4,YCR014C
ASP3-3,YLR158C
POM152,YMR129W
Uncharacterized,YBL071C
ISR1,YPR106W
GET4,YOR164C
Uncharacterized,YOR131C
MOT1,YPL082C
Uncharacterized,YGR283C
YHP1,YDR451C
PAI3,YMR174C
Uncharacterized,YCR049C
CRN1,YLR429W
LMO1,YLL007C
Uncharacterized,YCL065W
BPH1,YCR032W
TMS1,YDR105C
STU2,YLR045C
MTQ1,YNL063W
CHA4,YLR098C
GTT1,YIR038C
GLG1,YKR058W
IDI1,YPL117C
XRS2,YDR369C
EDS1,YBR033W
RIF2,YLR453C
GDH3,YAL062W
LIP1,YMR298W
ATP22,YDR350C
Uncharacterized,YNL165W
EXG2,YDR261C
PRP40,YKL012W
MRPS9,YBR146W
FKH1,YIL131C
BEM3,YPL115C
Uncharacterized,YLR235C
TPK1,YJL164C
IRC8,YJL051W
HHF2,YNL030W
PEX13,YLR191W
Uncharacterized,YCL012C
AQR1,YNL065W
SYS1,YJL004C
Uncharacterized,YLR217W
SPC110,YDR356W
Uncharacterized,YHR180W
HEM3,YDL205C
DUS1,YML080W
SOK2,YMR016C
Uncharacterized,YER097W
Uncharacterized,YKR032W
SPE2,YOL052C
PRM2,YIL037C
AIM25,YJR100C
CUP1-2,YHR055C
Uncharacterized,YJR020W
PHD1,YKL043W
RPP0,YLR340W
Uncharacterized,YFR056C
MSM1,YGR171C
JIP4,YDR475C
GEM1,YAL048C
EMP24,YGL200C
ASA1,YPR085C
CBP6,YBR120C
AQY2,YLL052C
RRP45,YDR280W
Uncharacterized,YOR019W
IRC23,YOR044W
Uncharacterized,YHR138C
RPT4,YOR259C
SKI3,YPR189W
SGA1,YIL099W
STE20,YHL007C
SSA2,YLL024C
SNG1,YGR197C
MLC1,YGL106W
DDL1,YOR022C
GDH1,YOR375C
Uncharacterized,YBL048W
SSU72,YNL222W
RRF1,YHR038W
Uncharacterized,YAR068W
Uncharacterized,YOL029C
KTR1,YOR099W
SCH9,YHR205W
NGL3,YML118W
BIO3,YNR058W
GAS3,YMR215W
RPS19a,YOL121C
CUS1,YMR240C
DET1,YDR051C
Uncharacterized,YDR187C
ECM33,YBR078W
COX18,YGR062C
AGC1,YPR021C
HSP82,YPL240C
GPD1,YDL022W
LSC2,YGR244C
DSF1,YEL070W
PUF6,YDR496C
RAD52,YML032C
SPE4,YLR146C
NUS1,YDL193W
SPR3,YGR059W
TOP2,YNL088W
Uncharacterized,YDR543C
RFS1,YBR052C
Uncharacterized,YER134C
SPT2,YER161C
TEC1,YBR083W
CUE5,YOR042W
SEC1,YDR164C
CTI6,YPL181W
Uncharacterized,YBR285W
TTI1,YKL033W
Uncharacterized,YNL046W
PTC6,YCR079W
Uncharacterized,YJL107C
LRP1,YHR081W
CIP1,YPL014W
VPS36,YLR417W
FCY2,YER056C
RPS1b,YML063W
PCL9,YDL179W
PHO2,YDL106C
Uncharacterized,YHR054C
NAM7,YMR080C
RAX2,YLR084C
PGD1,YGL025C
MSN2,YMR037C
SPC24,YMR117C
GTR1,YML121W
REC8,YPR007C
Uncharacterized,YDL124W
RKM4,YDR257C
ECM27,YJR106W
DNL4,YOR005C
YCS4,YLR272C
Uncharacterized,YGR266W
PAU14,YIL176C
Uncharacterized,YGR219W
SOL3,YHR163W
HOT13,YKL084W
GID7,YCL039W
LSB1,YGR136W
GCS1,YDL226C
MPE1,YKL059C
GRX2,YDR513W
NUP145,YGL092W
ALG13,YGL047W
GCD14,YJL125C
Uncharacterized,YFL051C
IML3,YBR107C
Uncharacterized,YPR130C
TPM1,YNL079C
IES4,YOR189W
RSM24,YDR175C
MRP21,YBL090W
MRPL35,YDR322W
PMA2,YPL036W
DIG1,YPL049C
MRP8,YKL142W
Uncharacterized,YNL122C
AIM21,YIR003W
VID30,YGL227W
Uncharacterized,YJL070C
STL1,YDR536W
RIM4,YHL024W
MAG1,YER142C
CAX4,YGR036C
ACS1,YAL054C
TFC3,YAL001C
LAM1,YHR155W
MNE1,YOR350C
Uncharacterized,YPL136W
Uncharacterized,YBR225W
SSE2,YBR169C
SCW10,YMR305C
HPM1,YIL110W
EXO70,YJL085W
DUT1,YBR252W
TPT1,YOL102C
RIO2,YNL207W
POL5,YEL055C
RBH1,YJL181W
SIT1,YEL065W
UBX2,YML013W
HPA2,YPR193C
BNA7,YDR428C
Uncharacterized,YPL077C
RPB10,YOR210W
Uncharacterized,YMR209C
STU1,YBL034C
MRX1,YER077C
DAD2,YKR083C
ALT1,YLR089C
VFA1,YER128W
COQ10,YOL008W
PXP1,YEL020C
YRA2,YKL214C
RPL22a,YLR061W
NMA2,YGR010W
Uncharacterized,YLR123C
MPD2,YOL088C
MLP1,YKR095W
UBP8,YMR223W
Uncharacterized,YCR016W
Uncharacterized,YJL028W
TPN1,YGL186C
CHC1,YGL206C
Uncharacterized,YBL073W
SNT2,YGL131C
RIM13,YMR154C
NBP35,YGL091C
VAC17,YCL063W
ZUO1,YGR285C
SWT1,YOR166C
HOS1,YPR068C
SYP1,YCR030C
ECM5,YMR176W
ERB1,YMR049C
Uncharacterized,YML079W
RPN5,YDL147W
Uncharacterized,YBR064W
CAJ1,YER048C
RPL4a,YBR031W
SPO75,YLL005C
SPP2,YOR148C
FRE8,YLR047C
RIM9,YMR063W
Uncharacterized,YIR040C
BUD22,YMR014W
TMA108,YIL137C
Uncharacterized,YBR144C
DIN7,YDR263C
MUD1,YBR119W
MDJ1,YFL016C
JJJ2,YJL162C
AFR1,YDR085C
CTK2,YJL006C
PLP2,YOR281C
MYO1,YHR023W
DIE2,YGR227W
SIW14,YNL032W
Uncharacterized,YPL080C
FMP16,YDR070C
GLE1,YDL207W
Uncharacterized,YHR182W
ATG38,YLR211C
RAD51,YER095W
APS1,YLR170C
GMH1,YKR030W
ALO1,YML086C
MRPL36,YBR122C
CKA1,YIL035C
OSH7,YHR001W
KTR4,YBR199W
Uncharacterized,YOL050C
SNF1,YDR477W
PKP1,YIL042C
BNR1,YIL159W
CIS1,YLR346C
RPN9,YDR427W
Uncharacterized,YNR061C
UFD4,YKL010C
LSM8,YJR022W
ATF2,YGR177C
PRI2,YKL045W
Uncharacterized,YLR339C
FLO11,YIR019C
HSP104,YLL026W
Uncharacterized,YCL002C
GRX8,YLR364W
ASH1,YKL185W
ATF1,YOR377W
Uncharacterized,YGL108C
Uncharacterized,YJR124C
VPS69,YPR087W
PPZ2,YDR436W
Uncharacterized,YHL050C
PRR1,YKL116C
TOM20,YGR082W
RVS167,YDR388W
Uncharacterized,YHL005C
AIM10,YER087W
PMT6,YGR199W
RPL25,YOL127W
NUP57,YGR119C
SAS4,YDR181C
Uncharacterized,YAR066W
HSH49,YOR319W
ATS1,YAL020C
RIF1,YBR275C
SQS1,YNL224C
MIG1,YGL035C
Uncharacterized,YGR064W
RSM28,YDR494W
Uncharacterized,YNL337W
FMT1,YBL013W
KEL2,YGR238C
TUF1,YOR187W
GUA1,YMR217W
Uncharacterized,YEL076C
IQG1,YPL242C
EBS1,YDR206W
Uncharacterized,YPR027C
DIA3,YDL024C
ADE16,YLR028C
RNT1,YMR239C
BRF1,YGR246C
YPT35,YHR105W
MRK1,YDL079C
SPT7,YBR081C
REG1,YDR028C
PAN1,YIR006C
NHP10,YDL002C
NBP2,YDR162C
RHO5,YNL180C
AST1,YBL069W
Uncharacterized,YNL040W
CHM7,YJL049W
GSH1,YJL101C
AFI1,YOR129C
NAT4,YMR069W
HHT1,YBR010W
QRI7,YDL104C
NCP1,YHR042W
SWI1,YPL016W
SMC4,YLR086W
VPH2,YKL119C
GIP2,YER054C
Uncharacterized,YKR015C
